CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
35444	37396	9	0.9165	-0.011
60227	103754	9	0.8743	89.047
38640	103397	9	0.9339	54.995
51663	162388	9	0.8582	-86.001
40045	44846	9	0.8779	88.052
40045	170204	9	0.9567	-0.036
43787	73413	9	0.9167	-0.037
96881	101845	9	0.8551	106.028
34899	38185	9	0.9971	-0.011
39059	102516	9	0.8636	-72.021
73413	127411	9	0.9618	-0.000
35444	60227	9	0.9777	-0.047
69218	89240	9	0.9022	43.990
34899	38450	9	0.9566	0.036
49604	74987	9	0.8621	0.036
42181	151676	9	0.9492	128.047
44846	87764	9	0.9671	0.000
39324	250160	9	0.9054	88.017
38639	93672	9	0.9317	106.027
151142	151835	9	0.9076	0.000
75236	122341	9	0.8846	-17.938
89240	220556	9	0.9066	-200.032
42565	50377	9	0.881	-14.016
35923	151835	9	0.9494	0.000
60227	101591	9	0.926	106.037
75010	207384	9	0.886	-17.026
89074	104088	9	0.9056	-200.069
38667	101845	9	0.8465	18.047
71707	101657	9	0.8893	-17.027
86850	105010	9	0.8517	-18.022
73413	104088	9	0.9364	0.037
43999	170204	9	0.9751	-0.073
38639	71707	9	0.9472	0.000
39679	49702	9	0.9262	-17.078
44019	47997	9	0.9196	-35.074
35939	39059	9	0.9635	0.000
35566	102065	9	0.9352	-172.074
39444	102065	9	0.9006	-207.075
93305	162388	9	0.9691	0.036
38862	47997	9	0.992	-0.073
93672	103397	9	0.9361	-35.037
73413	89074	9	0.8784	200.106
38185	38639	9	0.9531	0.047
39059	193789	9	0.8764	-72.021
72647	91842	9	0.9118	72.021
151835	200841	9	0.8885	-0.037
45721	90842	9	0.9529	-0.000
37396	39211	9	0.9798	0.000
38031	72886	9	0.8786	0.047
54224	74888	9	0.845	71.996
49604	130869	9	0.9015	17.974
34899	38639	9	0.9593	0.036
75236	101591	9	0.8779	128.047
35444	39211	9	0.9396	-0.011
37396	38185	9	0.9994	0.000
39533	197205	9	0.8509	-0.001
35566	49604	9	0.9175	-172.147
40045	207384	9	0.8771	15.995
54224	201228	9	0.8692	-235.167
40045	81392	9	0.8667	-0.036
43999	96881	9	0.8427	-106.028
42565	127548	9	0.8637	14.015
91821	101295	9	0.8774	-72.043
76825	104088	9	0.9757	-0.000
38035	41133	9	0.9624	-0.047
50377	207384	9	0.9788	0.000
38450	71707	9	0.9779	0.000
49604	50939	9	0.9458	0.000
102634	122341	9	0.8819	54.047
36506	101657	9	0.92	-88.053
35939	101295	9	0.8866	-72.043
72647	84912	9	0.888	-128.048
77808	200634	9	0.9871	0.000
43787	84912	9	0.8425	-235.142
44846	74987	9	0.9021	-190.084
43787	53756	9	0.8561	-163.157
38031	250160	9	0.873	-145.099
50939	77808	9	0.8895	18.010
35444	101591	9	0.9349	105.990
41517	279986	9	0.9447	-17.026
44846	150850	9	0.8465	-90.031
91821	193789	9	0.8877	-72.021
53756	104088	9	0.8758	163.157
60227	72886	9	0.954	0.084
