CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
6172	11136	23	0.7947	-32.026
5420	8706	23	0.8715	-35.037
10510	10522	23	0.8459	14.016
5420	6083	23	0.8862	14.016
4028	5272	23	0.7981	35.073
4028	8706	23	0.9353	0.036
4889	5430	23	0.843	0.036
5430	8706	23	0.8961	-14.016
4028	11137	23	0.8173	-13.979
5420	10510	23	0.8774	-14.016
4028	10041	23	0.8313	0.036
5730	11136	23	0.7873	3.011
6083	10522	23	0.8581	-14.016
5272	5420	23	0.8481	-0.000
4028	4889	23	0.8356	14.016
314	1293	24	0.9049	84.094
203	11585	24	0.8523	28.031
203	1266	24	0.9154	28.031
3121	3245	24	0.9671	0.000
1266	11585	24	0.9039	0.000
203	11339	24	0.9053	42.011
1276	11339	24	0.9273	122.004
768	3121	24	0.9567	-0.036
203	314	24	0.9423	-28.031
1266	1293	24	0.9398	28.031
1705	11339	24	0.9355	0.000
203	1276	24	0.9201	-79.993
314	1394	24	0.9229	-28.032
314	1266	24	0.9158	56.062
203	1293	24	0.9233	56.063
203	1394	24	0.9167	-56.063
3245	11339	24	0.8577	-61.016
203	1705	24	0.8552	42.011
1293	1394	24	0.8825	-112.125
1276	1705	24	0.8949	122.004
314	11585	24	0.8619	56.062
768	3245	24	0.9557	-0.036
1266	1394	24	0.8829	-84.094
1293	11585	24	0.8841	-28.031
734	1675	26	0.8083	-35.037
734	2968	26	0.8004	15.995
1108	1675	26	0.838	12.000
734	4223	26	0.9724	0.018
2968	4271	26	0.8341	-16.031
5949	10476	27	0.9571	-0.037
10455	10476	27	0.9585	0.000
9897	11942	27	0.9795	-0.000
6759	8750	27	0.9461	0.000
9305	10453	27	0.9707	-0.000
9700	9708	27	0.9454	-0.000
4469	9700	27	0.9521	-0.037
6584	7550	27	0.9455	-0.037
6963	11868	27	0.9476	-0.037
5394	9305	27	0.9436	-0.037
5134	10789	27	0.9422	-0.000
5312	11417	27	0.9545	0.000
8991	9708	27	0.9405	-0.037
5563	10746	27	0.9488	-0.073
4469	5563	27	0.9413	0.037
6963	9032	27	0.9538	-0.073
4753	9896	27	0.9402	-14.016
5134	11869	27	0.9402	0.000
5312	10789	27	0.9771	0.000
9896	11085	27	0.9627	0.000
4307	9700	27	0.9435	0.000
4753	10456	27	0.9446	0.000
5068	9307	27	0.959	0.000
8190	10450	27	0.9452	0.022
8991	9700	27	0.9405	-0.036
10450	10453	27	0.9655	-0.000
4307	9376	27	0.9499	0.000
10455	11942	27	0.9685	0.000
6596	9320	27	0.9467	0.000
8991	10453	27	0.9682	0.000
10789	11869	27	0.9678	0.000
9708	10450	27	0.9404	0.037
8991	10450	27	0.9819	0.000
9896	10450	27	0.9421	-14.016
5068	10455	27	0.9414	-14.016
5068	9897	27	0.9407	-14.016
4307	6584	27	0.95	0.037
4753	11868	27	0.9688	-0.000
5563	10450	27	0.9457	-0.037
10453	11942	27	0.9406	14.016
5563	8991	27	0.9405	-0.037
3802	11969	27	0.9505	0.037
4469	8991	27	0.973	-0.000
6584	9700	27	0.9419	-0.036
4753	6963	27	0.9445	0.037
9897	10455	27	0.9754	-0.000
10450	11942	27	0.9468	14.016
7550	10450	27	0.9423	0.037
4469	7550	27	0.944	-0.037
9897	10476	27	0.946	-0.000
4753	5068	27	0.9452	-0.000
9305	10476	27	0.9469	14.016
8991	11942	27	0.9415	14.016
5928	11942	27	0.9483	-0.037
4753	11085	27	0.9447	-14.016
5394	10345	27	0.9455	0.000
7606	8750	27	0.9505	0.000
5563	9700	27	1.0	-0.073
6584	10450	27	0.972	0.000
5928	9897	27	0.9467	-0.037
1459	3283	27	0.9519	-0.000
10456	11021	27	0.9518	-0.037
5068	11868	27	0.9679	0.000
4469	8190	27	0.9439	-0.022
4469	10450	27	0.9831	0.000
9897	10453	27	0.9427	-14.016
5563	10453	27	0.9494	-0.037
6584	8991	27	0.9613	0.000
7550	9700	27	0.9508	0.000
7550	9376	27	0.945	0.000
4753	9307	27	0.9762	-0.000
9896	11942	27	0.9667	0.000
9307	11868	27	0.9797	0.000
5928	10455	27	0.9475	-0.037
8991	9305	27	0.949	0.000
3283	3557	27	0.9422	0.000
3015	6596	27	0.9538	0.013
4307	7550	27	0.9515	0.000
5312	5481	27	0.969	0.000
5312	11869	27	0.9582	0.000
4753	9032	27	0.9406	-0.037
6143	6230	27	0.9672	0.000
5481	11417	27	0.9684	0.000
4469	10453	27	0.9547	-0.000
4469	10746	27	0.9447	-0.036
4257	11085	27	0.9423	0.037
9708	10746	27	0.9427	0.000
5563	9708	27	0.9454	-0.074
3802	6596	27	0.9412	-0.000
11085	11755	27	0.9596	0.000
5928	5958	27	0.9435	-0.000
5394	9708	27	0.9472	-0.073
9897	10450	27	0.9415	-14.016
4301	9897	27	0.9562	0.022
9700	10746	27	0.95	0.000
5134	10466	27	0.9494	-0.037
6963	9307	27	0.9538	-0.037
10453	10466	27	0.946	0.000
8190	8991	27	0.9402	0.022
9305	10466	27	0.9629	0.000
4307	4469	27	0.9403	0.037
3283	4307	27	0.9437	0.000
4301	10455	27	0.9512	0.022
5134	9305	27	0.9618	-0.037
2272	3802	27	0.9468	0.035
4301	5958	27	0.9407	0.059
9896	9897	27	0.9629	0.000
10466	11869	27	0.9653	0.037
9305	10450	27	0.95	0.000
11085	11969	27	0.9493	0.000
11085	11942	27	0.9417	-0.000
4301	9896	27	0.945	0.022
4301	11942	27	0.9582	0.022
9700	10450	27	0.944	0.037
9896	10455	27	0.945	0.000
4301	5928	27	0.9592	0.059
5394	5563	27	0.9413	0.000
5481	10789	27	0.951	0.000
5949	6230	27	0.942	-0.000
5068	7606	27	0.9567	0.037
1459	3557	27	0.9471	-0.000
4469	6584	27	0.9723	-0.000
10453	10455	27	0.9416	14.016
7606	11868	27	0.9426	-0.037
4073	4447	28	0.9871	0.025
4447	7673	28	0.9817	-0.025
4073	7673	28	0.9743	0.000
5883	7582	29	0.9005	-0.094
5894	7582	29	0.8894	-0.094
7534	7582	29	0.9134	-0.094
5894	7534	29	0.9531	0.000
5883	7534	29	0.8913	0.000
123	666	30	0.895	-471.281
180	233	30	0.9789	-88.053
630	663	30	0.9386	-132.079
252	303	30	0.9082	325.211
666	747	30	0.8943	-176.105
143	663	30	0.9202	61.052
129	158	30	0.9696	-132.079
129	10913	30	0.9858	0.078
158	748	30	0.9357	61.053
132	151	30	0.9592	220.131
381	433	30	0.9056	-44.026
522	554	30	0.9348	-44.026
123	11241	30	0.919	66.548
303	520	30	0.9072	-88.052
114	132	30	0.9718	-132.079
114	143	30	0.9468	-264.157
129	233	30	0.9539	-352.210
433	11241	30	0.9118	361.724
132	274	30	0.9507	264.158
663	666	30	0.9262	88.053
125	10836	30	0.9477	0.074
405	433	30	0.9243	-88.053
114	152	30	0.9422	-396.236
152	10913	30	0.9397	220.209
303	748	30	0.9126	325.211
3821	9618	30	0.8833	-87.995
223	303	30	0.9702	-88.052
554	663	30	0.924	-176.105
152	748	30	0.9336	149.106
125	143	30	0.9273	-308.183
1204	8431	30	0.8881	334.242
118	145	30	0.9479	-132.079
6544	9618	30	0.9212	3.019
123	132	30	0.9772	-488.308
129	152	30	0.9594	-220.131
132	223	30	0.9403	-352.210
