cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
12019	555	6	Organic compounds	1.0	Lipids and lipid-like molecules	0.6686507936507936	Fatty Acyls	0.33465608465608465	Sesquiterpenoids	0.2552910052910053	Sesquiterpenoids	0.2552910052910053	Aliphatic homomonocyclic compounds	0.2552910052910053
2925	S781	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2926	963	4	Organic compounds	1.0	Lipids and lipid-like molecules	0.5869047619047619	Prenol lipids	0.29642857142857143	Sesquiterpenoids	0.25476190476190474	Medium-chain fatty acids	0.21904761904761905	Aliphatic homopolycyclic compounds	0.4535714285714285
5417	963	4	Organic compounds	1.0	Lipids and lipid-like molecules	0.5869047619047619	Prenol lipids	0.29642857142857143	Sesquiterpenoids	0.25476190476190474	Medium-chain fatty acids	0.21904761904761905	Aliphatic homopolycyclic compounds	0.4535714285714285
7310	963	4	Organic compounds	1.0	Lipids and lipid-like molecules	0.5869047619047619	Prenol lipids	0.29642857142857143	Sesquiterpenoids	0.25476190476190474	Medium-chain fatty acids	0.21904761904761905	Aliphatic homopolycyclic compounds	0.4535714285714285
8511	963	4	Organic compounds	1.0	Lipids and lipid-like molecules	0.5869047619047619	Prenol lipids	0.29642857142857143	Sesquiterpenoids	0.25476190476190474	Medium-chain fatty acids	0.21904761904761905	Aliphatic homopolycyclic compounds	0.4535714285714285
2928	S782	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2934	S783	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2936	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
3326	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
3564	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
3686	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
3762	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
6556	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
6557	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
6691	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
7118	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
7495	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
7558	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
8238	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
9991	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
11165	486	14	Organic compounds	0.8571428571428571	Lipids and lipid-like molecules	0.33497732426303856	Prenol lipids	0.20294784580498865	Carbohydrates and carbohydrate conjugates	0.14285714285714285	Quinazolinamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.2574263038548753
2938	S784	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2941	1295	3	Organic compounds	1.0	Organoheterocyclic compounds	0.5059523809523809	Quinolizines	0.3333333333333333		0.4226190476190476	Quinolizines	0.3333333333333333	Aliphatic heteropolycyclic compounds	0.38095238095238093
3607	1295	3	Organic compounds	1.0	Organoheterocyclic compounds	0.5059523809523809	Quinolizines	0.3333333333333333		0.4226190476190476	Quinolizines	0.3333333333333333	Aliphatic heteropolycyclic compounds	0.38095238095238093
10018	1295	3	Organic compounds	1.0	Organoheterocyclic compounds	0.5059523809523809	Quinolizines	0.3333333333333333		0.4226190476190476	Quinolizines	0.3333333333333333	Aliphatic heteropolycyclic compounds	0.38095238095238093
2942	140	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.65	Prenol lipids	0.5875	Sesquiterpenoids	0.5875	Sesquiterpenoids	0.3625	Aliphatic homopolycyclic compounds	0.3875
11451	140	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.65	Prenol lipids	0.5875	Sesquiterpenoids	0.5875	Sesquiterpenoids	0.3625	Aliphatic homopolycyclic compounds	0.3875
2947	S785	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2948	1995	2	Organic compounds	1.0	Organic acids and derivatives	0.5	Carboxylic acids and derivatives	0.5	Carboxylic acids	0.5	Carboxylic acids	0.5	Aliphatic homomonocyclic compounds	0.6666666666666666
5826	1995	2	Organic compounds	1.0	Organic acids and derivatives	0.5	Carboxylic acids and derivatives	0.5	Carboxylic acids	0.5	Carboxylic acids	0.5	Aliphatic homomonocyclic compounds	0.6666666666666666
2950	S786	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2951	S787	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2952	S788	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2953	S789	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2954	537	2	Organic compounds	1.0	Organoheterocyclic compounds	0.4444444444444444	Hydroxy acids and derivatives	0.3333333333333333		0.4444444444444444	Medium-chain hydroxy acids and derivatives	0.3333333333333333	Aliphatic acyclic compounds	0.4444444444444444
3218	537	2	Organic compounds	1.0	Organoheterocyclic compounds	0.4444444444444444	Hydroxy acids and derivatives	0.3333333333333333		0.4444444444444444	Medium-chain hydroxy acids and derivatives	0.3333333333333333	Aliphatic acyclic compounds	0.4444444444444444
2960	S790	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2964	322	5	Organic compounds	1.0	Benzenoids	0.273015873015873	Benzene and substituted derivatives	0.15079365079365079		0.20634920634920634	N-alkylpyrrolidines	0.08571428571428572	Aromatic heteropolycyclic compounds	0.2666666666666667
3287	322	5	Organic compounds	1.0	Benzenoids	0.273015873015873	Benzene and substituted derivatives	0.15079365079365079		0.20634920634920634	N-alkylpyrrolidines	0.08571428571428572	Aromatic heteropolycyclic compounds	0.2666666666666667
3380	322	5	Organic compounds	1.0	Benzenoids	0.273015873015873	Benzene and substituted derivatives	0.15079365079365079		0.20634920634920634	N-alkylpyrrolidines	0.08571428571428572	Aromatic heteropolycyclic compounds	0.2666666666666667
4819	322	5	Organic compounds	1.0	Benzenoids	0.273015873015873	Benzene and substituted derivatives	0.15079365079365079		0.20634920634920634	N-alkylpyrrolidines	0.08571428571428572	Aromatic heteropolycyclic compounds	0.2666666666666667
10026	322	5	Organic compounds	1.0	Benzenoids	0.273015873015873	Benzene and substituted derivatives	0.15079365079365079		0.20634920634920634	N-alkylpyrrolidines	0.08571428571428572	Aromatic heteropolycyclic compounds	0.2666666666666667
2965	533	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.4222222222222222	Fatty Acyls	0.3111111111111111		0.3	Alkaloids and derivatives	0.2	Aromatic heteropolycyclic compounds	0.3333333333333333
8652	533	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.4222222222222222	Fatty Acyls	0.3111111111111111		0.3	Alkaloids and derivatives	0.2	Aromatic heteropolycyclic compounds	0.3333333333333333
2967	1350	2	Organic compounds	1.0	Organoheterocyclic compounds	0.41666666666666663	Organooxygen compounds	0.18333333333333335	Amino acids, peptides, and analogues	0.13333333333333333	Aryl ketones	0.1	Aromatic heteropolycyclic compounds	0.8666666666666667
3036	1350	2	Organic compounds	1.0	Organoheterocyclic compounds	0.41666666666666663	Organooxygen compounds	0.18333333333333335	Amino acids, peptides, and analogues	0.13333333333333333	Aryl ketones	0.1	Aromatic heteropolycyclic compounds	0.8666666666666667
2969	605	3	Organic compounds	1.0	Organoheterocyclic compounds	0.3365079365079365	Tropane alkaloids	0.14285714285714285		0.19047619047619047	Tropane alkaloids	0.14285714285714285	Aromatic heteropolycyclic compounds	0.5015873015873016
6996	605	3	Organic compounds	1.0	Organoheterocyclic compounds	0.3365079365079365	Tropane alkaloids	0.14285714285714285		0.19047619047619047	Tropane alkaloids	0.14285714285714285	Aromatic heteropolycyclic compounds	0.5015873015873016
10876	605	3	Organic compounds	1.0	Organoheterocyclic compounds	0.3365079365079365	Tropane alkaloids	0.14285714285714285		0.19047619047619047	Tropane alkaloids	0.14285714285714285	Aromatic heteropolycyclic compounds	0.5015873015873016
2972	S791	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2974	S792	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2976	S793	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2977	S794	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2978	126	3	Organic compounds	1.0	Organoheterocyclic compounds	0.47222222222222215	Indanes	0.1111111111111111	Indanones	0.1111111111111111	Indanones	0.1111111111111111	Aromatic heteropolycyclic compounds	0.3194444444444444
3222	126	3	Organic compounds	1.0	Organoheterocyclic compounds	0.47222222222222215	Indanes	0.1111111111111111	Indanones	0.1111111111111111	Indanones	0.1111111111111111	Aromatic heteropolycyclic compounds	0.3194444444444444
5027	126	3	Organic compounds	1.0	Organoheterocyclic compounds	0.47222222222222215	Indanes	0.1111111111111111	Indanones	0.1111111111111111	Indanones	0.1111111111111111	Aromatic heteropolycyclic compounds	0.3194444444444444
2980	17	9	Organic compounds	1.0	Organic oxygen compounds	0.43174603174603177	Organooxygen compounds	0.43174603174603177		0.28333333333333327	Secondary alcohols	0.24999999999999994	Aliphatic homopolycyclic compounds	0.37499999999999994
