Sample_Name_Unique,Sample_Name,PCR_setting,Experiment,Replicate
PAL_64_WC,PAL_64_WC,Standard,ASRAMP,I
PAL_65_LR,PAL_65_LR,Standard,ASRAMP,I
PAL_66_LR,PAL_66_LR,Standard,ASRAMP,I
PAL_66_WC,PAL_66_WC,Standard,ASRAMP,I
PAL-19_DR,PAL-19_DR,Standard,ASRAMP,I
PAL-19_WC,PAL-19_WC,Standard,ASRAMP,I
PAL-23_WC,PAL-23_WC,Standard,ASRAMP,I
PAL-25_DR,PAL-25_DR,Standard,ASRAMP,I
PAL-64_DR,PAL-64_DR,Standard,ASRAMP,I
PAL-65_DR,PAL-65_DR,Standard,ASRAMP,I
PAL-65_WC,PAL-65_WC,Standard,ASRAMP,I
PAL-66_DR,PAL-66_DR,Standard,ASRAMP,I
PAL-O5_OS,PAL-O5_OS,Standard,ASRAMP,I
PCR_NEG_1,PCR_NEG_1,Standard,,I
PCR_NEG_2,PCR_NEG_2,Standard,,I
PCR_NEG_3,PCR_NEG_3,Standard,,I
PCR_NEG_4,PCR_NEG_4,Standard,,I
PCR_NEG_REDO,PCR_NEG_REDO,Standard,,I
PCR_POS_2,PCR_POS_2,Standard,,I
PCR_POS_3,PCR_POS_3,Standard,,I
PCR_POS_4,PCR_POS_4,Standard,,I
PCR_POS_REDO,PCR_POS_REDO,Standard,,I
Plate1_A1,Plate1_A1,Standard,UNKNOWN,I
Plate2_A1,Plate2_A1,Standard,UNKNOWN,I
ROS_07_WC,ROS_07_WC,Standard,ASRAMP,I
ROS-07_DR,ROS-07_DR,Standard,ASRAMP,I
ROS-07_LR,ROS-07_LR,Standard,ASRAMP,I
ROS-CTD_OS,ROS-CTD_OS,Standard,ASRAMP,I
Sterivex_Blank,Sterivex_Blank,Standard,ROBO,I
Sterivex_Blank_v1,Sterivex_Blank,Standard,ROBO,II
SWA_01_WC,SWA_01_WC,Standard,ASRAMP,I
SWA_08_WC,SWA_08_WC,Standard,ASRAMP,I
SWA_16_WC,SWA_16_WC,Standard,ASRAMP,I
SWA_40_DR,SWA_40_DR,Standard,ASRAMP,I
SWA_40_LR,SWA_40_LR,Standard,ASRAMP,I
SWA_40_OS,SWA_40_OS,Standard,ASRAMP,I
SWA_40_WC,SWA_40_WC,Standard,ASRAMP,I
SWA_41_DR,SWA_41_DR,Standard,ASRAMP,I
SWA_41_LR,SWA_41_LR,Standard,ASRAMP,I
SWA_41_OS,SWA_41_OS,Standard,ASRAMP,I
SWA_41_WC,SWA_41_WC,Standard,ASRAMP,I
TAG-12_OS,TAG-12_OS,Standard,ASRAMP,I
TAU_07_LR,TAU_07_LR,Standard,ASRAMP,I
TAU_12_LR,TAU_12_LR,Standard,ASRAMP,I
TAU-04_DR,TAU-04_DR,Standard,ASRAMP,I
TAU-04_WC,TAU-04_WC,Standard,ASRAMP,I
TAU-07_DR,TAU-07_DR,Standard,ASRAMP,I
