Tree#,Groups,WScore
1,A1_w_T00-A2_c_T36,0.352255
1,A1_w_T00_v1-A2_c_T36,0.342149
1,A1_w_T36-A2_c_T36,0.196327
1,A1_w_T36_v1-A2_c_T36,0.167417
1,A1_x_T00-A2_c_T36,0.471929
1,A1_x_T00_v1-A2_c_T36,0.460684
1,A1_x_T_48-A2_c_T36,0.611697
1,A1_x_T_48_v1-A2_c_T36,0.578705
1,A2_a_T00-A2_c_T36,0.413685
1,A2_a_T00_v1-A2_c_T36,0.420105
1,A2_a_T36-A2_c_T36,0.198053
1,A2_a_T36_v1-A2_c_T36,0.148909
1,A2_c_T00-A2_c_T36,0.369825
1,A2_c_T00_v1-A2_c_T36,0.376263
1,A1_a_T00-A2_c_T36_v1,0.404704
1,A1_a_T00_v1-A2_c_T36_v1,0.43833
1,A1_a_T36-A2_c_T36_v1,0.176993
1,A1_a_T36_v1-A2_c_T36_v1,0.217433
1,A1_c_T00-A2_c_T36_v1,0.389178
1,A1_c_T00_v1-A2_c_T36_v1,0.363942
1,A1_c_T36-A2_c_T36_v1,0.249698
1,A1_c_T36_v1-A2_c_T36_v1,0.261101
1,A1_w_T00-A2_c_T36_v1,0.407726
1,A1_w_T00_v1-A2_c_T36_v1,0.391482
1,A1_w_T36-A2_c_T36_v1,0.265292
1,A1_w_T36_v1-A2_c_T36_v1,0.227585
1,A1_x_T00-A2_c_T36_v1,0.521677
1,A1_x_T00_v1-A2_c_T36_v1,0.509733
1,A1_x_T_48-A2_c_T36_v1,0.642709
1,A1_x_T_48_v1-A2_c_T36_v1,0.622042
1,A2_a_T00-A2_c_T36_v1,0.471575
1,A2_a_T00_v1-A2_c_T36_v1,0.476494
1,A2_a_T36-A2_c_T36_v1,0.142049
1,A2_a_T36_v1-A2_c_T36_v1,0.14461
1,A2_c_T00-A2_c_T36_v1,0.41895
1,A2_c_T00_v1-A2_c_T36_v1,0.432725
1,A2_c_T36-A2_c_T36_v1,0.127356
1,A1_a_T00-A2_w_T00,0.175539
1,A1_a_T00_v1-A2_w_T00,0.168074
1,A1_a_T36-A2_w_T00,0.378034
1,A1_a_T36_v1-A2_w_T00,0.34944
1,A1_c_T00-A2_w_T00,0.15979
1,A1_c_T00_v1-A2_w_T00,0.18797
1,A1_c_T36-A2_w_T00,0.365747
1,A1_c_T36_v1-A2_w_T00,0.373514
1,A1_w_T00-A2_w_T00,0.132322
1,A1_w_T00_v1-A2_w_T00,0.155977
1,A1_w_T36-A2_w_T00,0.316456
1,A1_w_T36_v1-A2_w_T00,0.337372
1,A1_x_T00-A2_w_T00,0.215025
1,A1_x_T00_v1-A2_w_T00,0.202745
1,A1_x_T_48-A2_w_T00,0.460012
1,A1_x_T_48_v1-A2_w_T00,0.414327
1,A2_a_T00-A2_w_T00,0.18356
1,A2_a_T00_v1-A2_w_T00,0.170515
1,A2_a_T36-A2_w_T00,0.382746
1,A2_a_T36_v1-A2_w_T00,0.360877
1,A2_c_T00-A2_w_T00,0.116887
1,A2_c_T00_v1-A2_w_T00,0.114722
1,A2_c_T36-A2_w_T00,0.383444
1,A2_c_T36_v1-A2_w_T00,0.441024
1,A1_a_T00-A2_w_T00_v1,0.188053
1,A1_a_T00_v1-A2_w_T00_v1,0.172192
1,A1_a_T36-A2_w_T00_v1,0.370573
1,A1_a_T36_v1-A2_w_T00_v1,0.349772
1,A1_c_T00-A2_w_T00_v1,0.173326
1,A1_c_T00_v1-A2_w_T00_v1,0.170143
1,A1_c_T36-A2_w_T00_v1,0.379589
1,A1_c_T36_v1-A2_w_T00_v1,0.385865
1,A1_w_T00-A2_w_T00_v1,0.133744
1,A1_w_T00_v1-A2_w_T00_v1,0.137418
1,A1_w_T36-A2_w_T00_v1,0.324441
1,A1_w_T36_v1-A2_w_T00_v1,0.333742
1,A1_x_T00-A2_w_T00_v1,0.228237
1,A1_x_T00_v1-A2_w_T00_v1,0.20552
1,A1_x_T_48-A2_w_T00_v1,0.467688
1,A1_x_T_48_v1-A2_w_T00_v1,0.420886
1,A2_a_T00-A2_w_T00_v1,0.2133
1,A2_a_T00_v1-A2_w_T00_v1,0.193572
1,A2_a_T36-A2_w_T00_v1,0.372226
1,A2_a_T36_v1-A2_w_T00_v1,0.353691
1,A2_c_T00-A2_w_T00_v1,0.138026
1,A2_c_T00_v1-A2_w_T00_v1,0.126317
1,A2_c_T36-A2_w_T00_v1,0.374502
1,A2_c_T36_v1-A2_w_T00_v1,0.423512
1,A2_w_T00-A2_w_T00_v1,0.080515
1,A1_a_T00-A2_w_T36,0.279274
1,A1_a_T00_v1-A2_w_T36,0.307505
1,A1_a_T36-A2_w_T36,0.165634
1,A1_a_T36_v1-A2_w_T36,0.157474
1,A1_c_T00-A2_w_T36,0.295898
1,A1_c_T00_v1-A2_w_T36,0.281536
1,A1_c_T36-A2_w_T36,0.256891
1,A1_c_T36_v1-A2_w_T36,0.257735
1,A1_w_T00-A2_w_T36,0.299299
1,A1_w_T00_v1-A2_w_T36,0.289061
1,A1_w_T36-A2_w_T36,0.149822
1,A1_w_T36_v1-A2_w_T36,0.141491
1,A1_x_T00-A2_w_T36,0.408387
1,A1_x_T00_v1-A2_w_T36,0.392712
1,A1_x_T_48-A2_w_T36,0.564246
1,A1_x_T_48_v1-A2_w_T36,0.526357
1,A2_a_T00-A2_w_T36,0.361144
1,A2_a_T00_v1-A2_w_T36,0.363478
1,A2_a_T36-A2_w_T36,0.168789
1,A2_a_T36_v1-A2_w_T36,0.130718
1,A2_c_T00-A2_w_T36,0.321042
1,A2_c_T00_v1-A2_w_T36,0.318834
1,A2_c_T36-A2_w_T36,0.147057
1,A2_c_T36_v1-A2_w_T36,0.197246
1,A2_w_T00-A2_w_T36,0.319517
1,A2_w_T00_v1-A2_w_T36,0.311849
1,A1_a_T00-A2_w_T36_v1,0.293537
1,A1_a_T00_v1-A2_w_T36_v1,0.32166
1,A1_a_T36-A2_w_T36_v1,0.163401
1,A1_a_T36_v1-A2_w_T36_v1,0.190905
1,A1_c_T00-A2_w_T36_v1,0.308828
1,A1_c_T00_v1-A2_w_T36_v1,0.291444
1,A1_c_T36-A2_w_T36_v1,0.284074
1,A1_c_T36_v1-A2_w_T36_v1,0.28983
1,A1_w_T00-A2_w_T36_v1,0.312151
1,A1_w_T00_v1-A2_w_T36_v1,0.297752
1,A1_w_T36-A2_w_T36_v1,0.171172
1,A1_w_T36_v1-A2_w_T36_v1,0.158175
1,A1_x_T00-A2_w_T36_v1,0.419102
1,A1_x_T00_v1-A2_w_T36_v1,0.405298
1,A1_x_T_48-A2_w_T36_v1,0.575673
1,A1_x_T_48_v1-A2_w_T36_v1,0.544074
1,A2_a_T00-A2_w_T36_v1,0.386901
1,A2_a_T00_v1-A2_w_T36_v1,0.386781
1,A2_a_T36-A2_w_T36_v1,0.162624
1,A2_a_T36_v1-A2_w_T36_v1,0.124725
1,A2_c_T00-A2_w_T36_v1,0.340868
1,A2_c_T00_v1-A2_w_T36_v1,0.343071
1,A2_c_T36-A2_w_T36_v1,0.163725
1,A2_c_T36_v1-A2_w_T36_v1,0.191468
1,A2_w_T00-A2_w_T36_v1,0.336476
1,A2_w_T00_v1-A2_w_T36_v1,0.318568
1,A2_w_T36-A2_w_T36_v1,0.078373
1,A1_a_T00-A2_x_T00,0.261152
1,A1_a_T00_v1-A2_x_T00,0.226153
1,A1_a_T36-A2_x_T00,0.464132
1,A1_a_T36_v1-A2_x_T00,0.431732
1,A1_c_T00-A2_x_T00,0.265225
1,A1_c_T00_v1-A2_x_T00,0.290299
1,A1_c_T36-A2_x_T00,0.45233
1,A1_c_T36_v1-A2_x_T00,0.457365
1,A1_w_T00-A2_x_T00,0.272457
1,A1_w_T00_v1-A2_x_T00,0.287758
1,A1_w_T36-A2_x_T00,0.413235
1,A1_w_T36_v1-A2_x_T00,0.446424
1,A1_x_T00-A2_x_T00,0.163246
1,A1_x_T00_v1-A2_x_T00,0.175531
1,A1_x_T_48-A2_x_T00,0.34221
1,A1_x_T_48_v1-A2_x_T00,0.294494
1,A2_a_T00-A2_x_T00,0.199817
1,A2_a_T00_v1-A2_x_T00,0.175766
1,A2_a_T36-A2_x_T00,0.491971
1,A2_a_T36_v1-A2_x_T00,0.466249
1,A2_c_T00-A2_x_T00,0.212156
1,A2_c_T00_v1-A2_x_T00,0.215714
1,A2_c_T36-A2_x_T00,0.513025
1,A2_c_T36_v1-A2_x_T00,0.563132
1,A2_w_T00-A2_x_T00,0.233451
1,A2_w_T00_v1-A2_x_T00,0.251777
1,A2_w_T36-A2_x_T00,0.432779
1,A2_w_T36_v1-A2_x_T00,0.444819
1,A1_a_T00-A2_x_T00_v1,0.243297
1,A1_a_T00_v1-A2_x_T00_v1,0.202024
1,A1_a_T36-A2_x_T00_v1,0.443373
1,A1_a_T36_v1-A2_x_T00_v1,0.412635
1,A1_c_T00-A2_x_T00_v1,0.246822
1,A1_c_T00_v1-A2_x_T00_v1,0.270948
1,A1_c_T36-A2_x_T00_v1,0.447049
1,A1_c_T36_v1-A2_x_T00_v1,0.450044
1,A1_w_T00-A2_x_T00_v1,0.254601
1,A1_w_T00_v1-A2_x_T00_v1,0.265417
1,A1_w_T36-A2_x_T00_v1,0.395285
1,A1_w_T36_v1-A2_x_T00_v1,0.4313
1,A1_x_T00-A2_x_T00_v1,0.143474
1,A1_x_T00_v1-A2_x_T00_v1,0.158019
1,A1_x_T_48-A2_x_T00_v1,0.354684
1,A1_x_T_48_v1-A2_x_T00_v1,0.305698
1,A2_a_T00-A2_x_T00_v1,0.197464
1,A2_a_T00_v1-A2_x_T00_v1,0.172218
1,A2_a_T36-A2_x_T00_v1,0.465253
1,A2_a_T36_v1-A2_x_T00_v1,0.441668
1,A2_c_T00-A2_x_T00_v1,0.211083
1,A2_c_T00_v1-A2_x_T00_v1,0.210124
1,A2_c_T36-A2_x_T00_v1,0.491046
1,A2_c_T36_v1-A2_x_T00_v1,0.541707
1,A2_w_T00-A2_x_T00_v1,0.217746
1,A2_w_T00_v1-A2_x_T00_v1,0.228243
1,A2_w_T36-A2_x_T00_v1,0.412945
1,A2_w_T36_v1-A2_x_T00_v1,0.420663
1,A2_x_T00-A2_x_T00_v1,0.079113
1,A1_a_T00-A2_x_T_48,0.462272
1,A1_a_T00_v1-A2_x_T_48,0.440498
1,A1_a_T36-A2_x_T_48,0.596602
1,A1_a_T36_v1-A2_x_T_48,0.574164
1,A1_c_T00-A2_x_T_48,0.456282
1,A1_c_T00_v1-A2_x_T_48,0.483794
1,A1_c_T36-A2_x_T_48,0.588409
1,A1_c_T36_v1-A2_x_T_48,0.594777
1,A1_w_T00-A2_x_T_48,0.460533
1,A1_w_T00_v1-A2_x_T_48,0.484302
1,A1_w_T36-A2_x_T_48,0.562316
1,A1_w_T36_v1-A2_x_T_48,0.590276
1,A1_x_T00-A2_x_T_48,0.366551
1,A1_x_T00_v1-A2_x_T_48,0.38313
1,A1_x_T_48-A2_x_T_48,0.1322
1,A1_x_T_48_v1-A2_x_T_48,0.11491
1,A2_a_T00-A2_x_T_48,0.405139
1,A2_a_T00_v1-A2_x_T_48,0.390478
1,A2_a_T36-A2_x_T_48,0.630922
1,A2_a_T36_v1-A2_x_T_48,0.606551
1,A2_c_T00-A2_x_T_48,0.429966
1,A2_c_T00_v1-A2_x_T_48,0.440193
1,A2_c_T36-A2_x_T_48,0.641473
1,A2_c_T36_v1-A2_x_T_48,0.685965
1,A2_w_T00-A2_x_T_48,0.441864
1,A2_w_T00_v1-A2_x_T_48,0.464299
1,A2_w_T36-A2_x_T_48,0.583216
1,A2_w_T36_v1-A2_x_T_48,0.599619
1,A2_x_T00-A2_x_T_48,0.304986
1,A2_x_T00_v1-A2_x_T_48,0.32076
1,A1_a_T00-A2_x_T_48_v1,0.469011
1,A1_a_T00_v1-A2_x_T_48_v1,0.442712
1,A1_a_T36-A2_x_T_48_v1,0.610484
1,A1_a_T36_v1-A2_x_T_48_v1,0.585634
1,A1_c_T00-A2_x_T_48_v1,0.465088
1,A1_c_T00_v1-A2_x_T_48_v1,0.490513
1,A1_c_T36-A2_x_T_48_v1,0.600626
1,A1_c_T36_v1-A2_x_T_48_v1,0.607365
1,A1_w_T00-A2_x_T_48_v1,0.465578
1,A1_w_T00_v1-A2_x_T_48_v1,0.489804
1,A1_w_T36-A2_x_T_48_v1,0.575505
1,A1_w_T36_v1-A2_x_T_48_v1,0.603447
1,A1_x_T00-A2_x_T_48_v1,0.372899
1,A1_x_T00_v1-A2_x_T_48_v1,0.385663
1,A1_x_T_48-A2_x_T_48_v1,0.131228
1,A1_x_T_48_v1-A2_x_T_48_v1,0.121347
1,A2_a_T00-A2_x_T_48_v1,0.40852
1,A2_a_T00_v1-A2_x_T_48_v1,0.395612
1,A2_a_T36-A2_x_T_48_v1,0.644282
1,A2_a_T36_v1-A2_x_T_48_v1,0.618557
1,A2_c_T00-A2_x_T_48_v1,0.434696
1,A2_c_T00_v1-A2_x_T_48_v1,0.440979
1,A2_c_T36-A2_x_T_48_v1,0.654639
1,A2_c_T36_v1-A2_x_T_48_v1,0.697566
1,A2_w_T00-A2_x_T_48_v1,0.447245
1,A2_w_T00_v1-A2_x_T_48_v1,0.467499
1,A2_w_T36-A2_x_T_48_v1,0.597436
1,A2_w_T36_v1-A2_x_T_48_v1,0.615526
1,A2_x_T00-A2_x_T_48_v1,0.30866
1,A2_x_T00_v1-A2_x_T_48_v1,0.326223
1,A2_x_T_48-A2_x_T_48_v1,0.049174
1,A1_a_T00-A3_a_T00,0.185177
1,A1_a_T00_v1-A3_a_T00,0.171028
1,A1_a_T36-A3_a_T00,0.317858
1,A1_a_T36_v1-A3_a_T00,0.30943
1,A1_c_T00-A3_a_T00,0.177311
1,A1_c_T00_v1-A3_a_T00,0.169336
1,A1_c_T36-A3_a_T00,0.357752
1,A1_c_T36_v1-A3_a_T00,0.372844
1,A1_w_T00-A3_a_T00,0.192126
1,A1_w_T00_v1-A3_a_T00,0.201185
1,A1_w_T36-A3_a_T00,0.331143
1,A1_w_T36_v1-A3_a_T00,0.349907
1,A1_x_T00-A3_a_T00,0.255622
1,A1_x_T00_v1-A3_a_T00,0.239238
1,A1_x_T_48-A3_a_T00,0.480145
1,A1_x_T_48_v1-A3_a_T00,0.44327
1,A2_a_T00-A3_a_T00,0.259152
1,A2_a_T00_v1-A3_a_T00,0.237115
1,A2_a_T36-A3_a_T00,0.351713
1,A2_a_T36_v1-A3_a_T00,0.326935
1,A2_c_T00-A3_a_T00,0.198216
1,A2_c_T00_v1-A3_a_T00,0.200764
1,A2_c_T36-A3_a_T00,0.375304
1,A2_c_T36_v1-A3_a_T00,0.420923
1,A2_w_T00-A3_a_T00,0.218754
1,A2_w_T00_v1-A3_a_T00,0.207868
1,A2_w_T36-A3_a_T00,0.314895
1,A2_w_T36_v1-A3_a_T00,0.322693
1,A2_x_T00-A3_a_T00,0.295782
1,A2_x_T00_v1-A3_a_T00,0.271798
1,A2_x_T_48-A3_a_T00,0.499702
1,A2_x_T_48_v1-A3_a_T00,0.507919
1,A1_a_T00-A3_a_T00_v1,0.151353
1,A1_a_T00_v1-A3_a_T00_v1,0.159512
1,A1_a_T36-A3_a_T00_v1,0.325241
1,A1_a_T36_v1-A3_a_T00_v1,0.277931
1,A1_c_T00-A3_a_T00_v1,0.157629
