"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"11592_516.2082_9.5058_722_N/A_Massbank:AC000920 Atranone B_NA_Organic compounds_Phenylpropanoids and polyketides_Macrolactams_NA",0,0,0,0,0,0,0,0,0,0,0,535306.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33301070,0,0,0,0,0,0
"11637_745.6806_12.5975_176_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",0,0,0,0,0,0,0,38612.88,0,0,0,0,0,0,0,5924.745,0,0,0,0,81306.07,175069.8,0,0,15629.89,0,0,0,12831430,131012.6,0,0,0,0,0
"11641_460.2933_12.9222_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",6128.547,0,0,0,0,0,0,4471.48,0,0,0,3773628,11247.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4786.842,9904911,0,0,0,0,0,0
"11647_719.6662_12.5172_176_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",0,0,0,0,0,0,0,46136.76,0,0,0,0,0,0,0,32445.11,0,0,0,0,69734.07,38607.45,0,0,0,0,0,0,5021985,51106.91,0,0,0,0,0
"11656_243.183_5.8691_253_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_NA",0,0,0,0,0,0,0,0,0,0,0,205400400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508340.2,0,0,0,0,0,0
"11775_585.3787_11.6714_296_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Triterpenoids",5385402,22157.48,11811.98,21433.25,0,0,0,0,20311.85,0,0,0,0,18054,0,21345.85,10088,1667217,11201.27,52240.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11891_341.2913_7.1192_304_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Azaspirodecane derivatives_NA",131606.1,0,0,0,120389.4,0,0,0,0,0,0,75361170,0,0,0,0,0,178359.8,124619.9,118271.7,0,107822.6,0,0,0,0,0,0,0,0,0,0,0,119657.6,0
"11895_206.1904_9.1821_18_N/A_Massbank:LU062101 4-Hexylaniline_NA_no matches_no matches_no matches_no matches",74363.38,64224.56,0,0,0,0,0,0,0,0,0,31419730,0,0,0,101459.6,0,85863.32,0,0,0,0,0,0,0,0,0,0,151041.6,0,0,0,0,0,0
"11896_485.3587_5.829_253_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_NA",0,0,0,0,0,0,0,0,0,0,0,57863660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558716.4,0,0,0,0,0,0
"11902_363.2642_4.7936_479_N/A_Drospirenone_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",0,0,0,0,0,0,0,0,0,0,0,72797900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19099370,0,0,0,0,0,0
"11904_221.1698_5.9169_274_N/A_NA_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Anilides",0,0,0,0,0,0,0,0,0,0,0,38209790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288562.2,0,0,0,0,0,0
"11908_226.1915_6.6451_1225_N/A_colchicine_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",0,0,0,0,0,0,0,0,0,0,0,28482010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3568865,0,0,0,0,0,0
"11910_448.3182_7.6926_365_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Steroid acids",0,0,0,0,0,0,0,0,0,0,0,14244230,0,0,0,0,0,0,0,0,480720.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11911_241.2036_7.6836_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,0,0,0,0,0,0,0,0,30684100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929084,0,0,0,0,0,0
"11918_460.2931_12.5587_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,10670.99,0,0,0,0,0,0,0,0,0,40354510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11922_336.3114_12.2359_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",45172.11,39590.8,46339.91,35903.97,17904.76,26634.02,42685.13,32733.51,35461.37,26681.99,28330.51,18646470,32241.03,30378.54,25052.99,33730.31,20643.34,23233.03,17761.49,21542.69,15954.42,56307.35,10573.98,25682.53,30736.49,46313.09,12663.35,35977.17,44765.83,34059.32,28897.09,40551.64,42589.28,15355.54,25234.5
"11923_473.3448_13.0711_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",35735.4,0,0,41707.84,7650.148,0,4391.472,52021.6,0,0,0,4811088,0,0,36601.41,33501.25,0,0,65665.92,0,0,0,95762.62,50903.56,0,0,52744.58,45748.41,177739.3,13884.53,0,0,0,0,41485.05
"11924_416.2674_12.2629_2717_N/A_NA_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",0,0,0,0,0,0,0,0,0,0,0,15183450,0,0,0,0,0,7345.023,0,0,10003.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11931_388.2841_8.323_82_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_NA",150643.9,0,0,0,0,0,0,0,0,0,0,2912081,111708.5,0,0,0,0,0,127991.2,0,139817.1,0,0,0,0,0,0,0,89465.7,0,0,0,0,0,0
"12006_571.4353_8.7605_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,299924,0,13387990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12018_1332.4688_1.9871_21_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Carboxylic acids and derivatives_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,96321.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12033_947.4591_9.0017_364_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Steroidal glycosides",161048.8,0,0,0,0,0,0,0,0,0,1696437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12045_831.4115_7.9047_364_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Steroidal glycosides",783990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521232.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12051_815.4168_9.0277_364_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Steroidal glycosides",0,0,0,0,0,0,0,0,0,0,416170.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271305.7,0,0,0,0,0,0,0
"12061_312.2897_9.6572_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,3974465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212742,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12069_700.2554_2.0784_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,0,111315.6,0,0,0,0,0,1084999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81949.78,0,103485.8,0,0,0,0,0
