"","rep(abund.nosub.asv$ASV, times = 3)","adjusted_pval","Treatment","l2fc","Mean_Abundance","significant","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","Genus_OTU","Family_Genus_OTU","Family_OTU","significant1","fontface","l2fcSE"
"46","Otu00095",NA,"Heated",-7.4970094149455,36.6666666666667,NA,"Otu00095","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60","OM60_Otu00095","Halieaceae_OM60_Otu00095","Halieaceae_Otu00095","N","plain",3.9201168483083
"47","Otu00101",0.0999735855344957,"Heated",2.18507755260998,346,"N","Otu00101","Bacteria(100)","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Otu00101","Saprospiraceae_uncultured_Otu00101","Saprospiraceae_Otu00101","Y","bold",0.87796059834057
"48","Otu00109",0.754235590843411,"Heated",-1.23638798110198,284,"N","Otu00109","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Nitrincolaceae_unclassified","Nitrincolaceae_unclassified_Otu00109","Nitrincolaceae_Nitrincolaceae_unclassified_Otu00109","Nitrincolaceae_Otu00109","N","plain",1.4547693120043
"49","Otu00110",0.406676079478051,"Heated",-1.23325793641603,271,"N","Otu00110","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Donghicola","Donghicola_Otu00110","Rhodobacteraceae_Donghicola_Otu00110","Rhodobacteraceae_Otu00110","N","plain",0.751534119147851
"50","Otu00131",0.121250209185795,"Heated",9.60243336527623,56,"N","Otu00131","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrionaceae_unclassified","Vibrionaceae_unclassified_Otu00131","Vibrionaceae_Vibrionaceae_unclassified_Otu00131","Vibrionaceae_Otu00131","N","plain",4.04558350021438
"51","Otu00134",0.394042970793938,"Heated",-2.01519432034708,249.333333333333,"N","Otu00134","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptuniibacter","Neptuniibacter_Otu00134","Nitrincolaceae_Neptuniibacter_Otu00134","Nitrincolaceae_Otu00134","N","plain",1.16535655093412
"52","Otu00147",0.520083181479845,"Heated",-1.58461617841218,152.666666666667,"N","Otu00147","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Marinobacteraceae","Marinobacter","Marinobacter_Otu00147","Marinobacteraceae_Marinobacter_Otu00147","Marinobacteraceae_Otu00147","N","plain",1.15186543947157
"53","Otu00161",0.92363098442356,"Heated",-0.480936407648665,958,"N","Otu00161","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Psychrosphaera","Psychrosphaera_Otu00161","Pseudoalteromonadaceae_Psychrosphaera_Otu00161","Pseudoalteromonadaceae_Otu00161","N","plain",1.37376531320712
"54","Otu00163",0.754235590843411,"Heated",-1.06821444038476,312.333333333333,"N","Otu00163","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00163","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00163","Rhodobacteraceae_Otu00163","N","plain",1.29499576858238
"55","Otu00167",0.964754625671379,"Heated",0.251261573583315,164.333333333333,"N","Otu00167","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00167","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00167","Rhodobacteraceae_Otu00167","N","plain",2.14199342622955
"56","Otu00179",3.02652346326822e-06,"Heated",-8.97783485615289,0,"Y","Otu00179","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00179","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00179","Alteromonadaceae_Otu00179","Y","bold",1.68739790604692
"57","Otu00181",0.696279630217857,"Heated",0.777680009883446,814.333333333333,"N","Otu00181","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00181","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00181","Rhodobacteraceae_Otu00181","Y","bold",0.792948684679973
"58","Otu00184",NA,"Heated",-6.70666526103048,0,NA,"Otu00184","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00184","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00184","Rhodobacteraceae_Otu00184","N","plain",4.40881636972974
"59","Otu00186",0.801719645996,"Heated",-0.893514855833805,114.666666666667,"N","Otu00186","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00186","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00186","Rhodobacteraceae_Otu00186","N","plain",1.28403551723345
"60","Otu00189",0.805203849623125,"Heated",-0.975487990878077,165,"N","Otu00189","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00189","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00189","Rhodobacteraceae_Otu00189","N","plain",1.49895704325431
"61","Otu00195",0.0133868147173969,"Heated",1.36905000005295,470,"Y","Otu00195","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00195","Alteromonadaceae_Alteromonas_Otu00195","Alteromonadaceae_Otu00195","Y","bold",0.424477595199534
"62","Otu00199",0.801719645996,"Heated",-0.874762854228677,166.666666666667,"N","Otu00199","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius","Thalassobius_Otu00199","Rhodobacteraceae_Thalassobius_Otu00199","Rhodobacteraceae_Otu00199","N","plain",1.22227541820273
