"","ESV","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","mean_abund","NC.relabund","BA.relabund","BH.relabund","NCH.relabund","NbA.relabund","NbH.relabund"
"Otu01139","esv_1307","Otu01139","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter",42.2666666666667,0.131524008350731,0.171189979123173,0.249130132219903,0.20598469032707,0.192066805845511,0.0501043841336117
"Otu00131","esv_131","Otu00131","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrionaceae_unclassified",36.4666666666667,0.273124544792425,0.253459577567371,0.244719592134013,0.145666423889294,0,0.0830298616168973
"Otu01153","esv_1324","Otu01153","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonadaceae_unclassified",40.4,0,0.568239795918367,0.154336734693878,0,0.164540816326531,0.112882653061224
"Otu01163","esv_1338","Otu01163","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Agaribacter",42.8,0.112936344969199,0.117043121149897,0.16974674880219,0.195756331279945,0.271047227926078,0.13347022587269
"Otu00134","esv_134","Otu00134","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptuniibacter",527.6,0.300530738611234,0.0353272888102609,0.0827067669172932,0.363224237063246,0.179234851835471,0.0389761167624945
"Otu00014","esv_14","Otu00014","Bacteria(100)","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",98.8666666666667,0.20125786163522,0.0601976639712489,0.180293501048218,0.285115303983228,0.199460916442049,0.0736747529200359
"Otu01224","esv_1412","Otu01224","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",36.4,0,0.604,0.184,0,0,0.212
"Otu01258","esv_1455","Otu01258","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Agaribacter",39.5333333333333,0.209567198177677,0,0.0622627182991648,0.14123006833713,0.498101746393318,0.0888382687927107
"Otu00147","esv_147","Otu00147","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Marinobacteraceae","Marinobacter",257.266666666667,0.208246708246708,0.0564795564795565,0.105798105798106,0.35989835989836,0.208593208593209,0.060984060984061
"Otu01285","esv_1494","Otu01285","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonadaceae_unclassified",37.5333333333333,0,0.414545454545455,0.219636363636364,0.0290909090909091,0.208,0.128727272727273
"Otu01296","esv_1505","Otu01296","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",31,0,0.576740506329114,0.207278481012658,0,0,0.215981012658228
"Otu01307","esv_1516","Otu01307","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Umboniibacter",21.4,0,0.258148631029987,0.419817470664928,0.00782268578878748,0.0834419817470665,0.230769230769231
"Otu00016","esv_16","Otu00016","Bacteria(100)","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ib",49.7333333333333,0.179584120982987,0,0,0.504095778197858,0.316320100819156,0
"Otu00161","esv_161","Otu00161","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Psychrosphaera",641.133333333333,0.110179217798181,0.168844354197934,0.253730025602543,0.0311644742650305,0.262205350048557,0.173876578087755
"Otu00163","esv_163","Otu00163","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",372.466666666667,0.327779045879936,0.0620862816708514,0.142585406680362,0.269801415202009,0.138172411169444,0.0595754393973979
"Otu00167","esv_167","Otu00167","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",163.133333333333,0.1527537235885,0.176653966054728,0.17076550051957,0.141323172843782,0.230689296847939,0.12781434014548
"Otu00017","esv_17","Otu00017","Bacteria(100)","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II_ge",93.7333333333333,0.196830427892235,0.0684627575277337,0.126782884310618,0.358795562599049,0.188272583201268,0.0608557844690967
"Otu01459","esv_1721","Otu01459","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae_unclassified",16.4666666666667,0,0,1,0,0,0
"Otu00018","esv_18","Otu00018","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade_ge",346.333333333333,0.104089219330855,0.0674455655868295,0.191007257921756,0.330323951141795,0.237564170649673,0.0695698353690919
"Otu00179","esv_180","Otu00179","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified",155.6,0.162454873646209,0.309747292418773,0,0.240072202166065,0.287725631768953,0
"Otu00181","esv_182","Otu00181","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",585.8,0.164894600591716,0.288877588757396,0.225869082840237,0.0746116863905325,0.136741863905325,0.109005177514793
"Otu00184","esv_185","Otu00184","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",23.2666666666667,0.47085201793722,0.181614349775785,0,0,0.347533632286996,0
"Otu01581","esv_1867","Otu01581","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified",25.8666666666667,0,0.150334075723831,0.173719376391982,0.0824053452115813,0.33630289532294,0.257238307349666
"Otu00186","esv_187","Otu00186","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",113.866666666667,0.140138408304498,0.219476025704399,0.170044488383589,0.136431043005437,0.226396440929313,0.107513593672763
