"","max_blanks","mean_samples","flag"
"164_157.1224_9.5256_530_4-Hydroxynonenal_4-Hydroxynonenal_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty alcohols",9974.574,15263.1884722222,1
"165_157.1224_9.7091_1978_4-Methylcyclohexaneacetic acid_4-Methylcyclohexaneacetic acid_no matches_no matches_no matches_no matches",28122.27,17219.7564166667,1
"166_157.1224_6.4395_684_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters",44112.02,27889.1515833333,1
"169_157.1336_4.6927_-1_N/A_NA_no matches_no matches_no matches_no matches",31411.87,6142.86972222222,1
"170_157.17_4.5922_920_N/A_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Carbonyl compounds",111782.7,1592.70222222222,1
"171_158.0029_6.1117_12104_N/A_NA_no matches_no matches_no matches_no matches",16498.04,1701.36713888889,1
"172_158.003_0.5286_12104_N/A_NA_no matches_no matches_no matches_no matches",472152.5,2915.81538611111,1
"177_158.0965_2.9617_15305_1H-Indole-6-ethanamine, .alpha.-methyl-_1H-Indole-6-ethanamine, .alpha.-methyl-_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_Indoles",2573061,252943.037944444,1
"178_158.0965_3.1807_15305_1H-Indole-6-ethanamine, .alpha.-methyl-_1H-Indole-6-ethanamine, .alpha.-methyl-_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_Indoles",124468.9,11180.6314444444,1
"179_158.0965_3.2364_474_N/A_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",140912.3,8787.04833333333,1
"181_158.0967_0.6971_-1_1H-Indole-6-ethanamine, .alpha.-methyl-_1H-Indole-6-ethanamine, .alpha.-methyl-_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_Indoles",625736.9,31425.8755277778,1
"183_158.1176_2.8944_511_Octanoic acid, 4-[(1-oxo-7-phenylheptyl)amino]-, (4R)-_Octanoic acid, 4-[(1-oxo-7-phenylheptyl)amino]-, (4R)-_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",55967.73,11283.4278333333,1
"184_158.1176_3.0024_511_Octanoic acid, 4-[(1-oxo-7-phenylheptyl)amino]-, (4R)-_Octanoic acid, 4-[(1-oxo-7-phenylheptyl)amino]-, (4R)-_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",82692.79,11727.6120833333,1
"185_158.1176_3.263_474_trans-4-(Aminomethyl)cyclohexanecarboxylic acid_trans-4-(Aminomethyl)cyclohexanecarboxylic acid_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",138216.3,7740.68116666667,1
"186_158.1176_3.0664_474_trans-4-(Aminomethyl)cyclohexanecarboxylic acid_trans-4-(Aminomethyl)cyclohexanecarboxylic acid_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",203875.4,14224.5325,1
"187_158.1176_9.4677_13763_N/A_NA_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_Indoles",68837.68,23164.0786388889,1
"188_158.1176_4.8967_474_trans-4-(Aminomethyl)cyclohexanecarboxylic acid_trans-4-(Aminomethyl)cyclohexanecarboxylic acid_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",65509.04,26753.1928333333,1
"191_158.154_8.6432_920_hyocholic acid_hyocholic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Carbonyl compounds",48388.9,24776.8614166667,1
"192_158.154_7.0886_474_N/A_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",36746.78,13963.4456944444,1
"193_158.154_7.6448_483_hyocholic acid_hyocholic acid_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Alcohols and polyols",67758.35,10686.3026111111,1
"194_158.154_8.2224_920_N/A_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Carbonyl compounds",5868523,6704738.96180556,1
"195_158.154_6.7602_3835_N/A_NA_no matches_no matches_no matches_no matches",39127.54,1708.11080555556,1
"199_158.1541_0.9163_348_N/A_NA_no matches_no matches_no matches_no matches",1406.574,2423.62055555556,1
"200_158.1542_0.6873_348_N/A_NA_no matches_no matches_no matches_no matches",27662.67,6731.38272222222,1
"201_158.1904_4.7478_-1_N/A_NA_no matches_no matches_no matches_no matches",82335.17,60.9714166666667,1
"202_158.1904_5.8023_4740_N/A_NA_no matches_no matches_no matches_no matches",93555.3,33253.5104444444,1
"203_158.1904_5.8667_4740_N/A_NA_no matches_no matches_no matches_no matches",10904.17,8758.44233333333,1
