"","ASV","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.sig","bleached.sig","bleached.heated.sig","ESV","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","X","X.1","X.2","X.3","X.4","DA_in"
"Otu00195","Otu00195",0.0012585940312723,0.013386863787169,0.000114850042808921,0.00193968961188399,0.0247734177683805,0.163719978295385,1.36904978364584,1.62233707278777,0.845563361596016,"Y","Y","N","esv_196","Otu00195","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","Non-bleached + Heated and Bleached + Ambient"
"Otu00002","Otu00002",0.000259465846570604,0.00433678629268009,3.29492220096691e-05,0.000715468820781387,0.0142342775562572,0.120200566030617,1.29277094401242,1.46896891942958,0.775714091420313,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","Non-bleached + Heated and Bleached + Ambient"
"Otu00199","Otu00199",0.474185191366778,0.801717482704586,0.720257667787682,0.931163267364503,0.838161665414175,0.997343993153846,-0.87476673862131,0.431535533505347,0.219948377213691,"N","N","N","esv_200","Otu00199","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius","",NA,NA,NA,"","NNN"
"Otu00205","Otu00205",0.900119580934655,0.964756238204011,0.430095476083629,0.816754226383084,0.561106839973896,0.997343993153846,0.319000179317797,-2.00835779697914,-1.32095747402807,"N","N","N","esv_207","Otu00205","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptuniibacter","",NA,NA,NA,"","NNN"
"Otu01761","Otu01761",0.145107536038002,NA,0.990433086129805,1,0.890414111337546,0.997343993153846,-6.42434185485325,-0.0500242340153682,-0.514027353659217,NA,"N","N","esv_2101","Otu01761","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","NANN"
"Otu00022","Otu00022",0.365939696239223,NA,0.488133742357528,0.84314010043573,0.648404755639358,0.997343993153846,-1.11021069166879,-0.829830397154146,0.481767804407244,NA,"N","N","esv_22","Otu00022","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade_unclassified","",NA,NA,NA,"","NANN"
"Otu00222","Otu00222",0.0403113132811581,NA,0.0276007095075493,0.145811281341699,0.374792855190653,0.997343993153846,-7.74903937317257,-8.32464302783696,-2.78043979027825,NA,"N","N","esv_225","Otu00222","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae_unclassified","",NA,NA,NA,"","NANN"
"Otu00023","Otu00023",0.342685596413844,NA,0.479321636930545,0.837435503602792,0.578712993822282,0.997343993153846,-1.17480012489611,-0.857240258400161,-0.597667687740172,NA,"N","N","esv_23","Otu00023","Bacteria(100)","Actinobacteria","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus_Actinomarina","",NA,NA,NA,"","NANN"
"Otu00227","Otu00227",0.0939714467393329,0.394038388015291,0.358378032695731,0.789470448836972,0.541800121862062,0.997343993153846,-2.03515496854188,-1.1049580690901,-0.655289435452943,"N","N","N","esv_230","Otu00227","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00230","Otu00230",0.390248011192691,0.754232410160575,0.762356229690319,0.941906394828814,0.305104147584756,0.997343993153846,-2.0206575890099,0.700936587893656,-2.13342159618272,"N","N","N","esv_233","Otu00230","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00234","Otu00234",0.0942997851660525,0.394038388015291,0.0745413401179041,0.306223883727606,0.224652583650924,0.853679817873513,-2.31991559010773,-2.45837476021278,-1.49083410106379,"N","N","N","esv_237","Otu00234","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Nitrincolaceae_unclassified","",NA,NA,NA,"","NNN"
