"","ASV","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.sig","bleached.sig","bleached.heated.sig"
"24","Otu00199",0.425714158188145,0.648707038166285,0.673025116200487,0.947515460211738,0.968416960376153,0.981452785874647,0.92366817657196,-0.48010792236967,-0.0402520314791517,"N","N","N"
"25","Otu00205",0.841016474909299,0.935462682620678,0.482368907133946,0.83553185699987,0.505177301541698,0.981452785874647,-0.507097988906698,1.77803960320496,1.50641511834034,"N","N","N"
"26","Otu00022",0.344715100026483,0.648707038166285,0.52496878463779,0.882049290925521,0.74477297073771,0.981452785874647,1.15701632129186,0.753570144750903,-0.340623692233317,"N","N","N"
"27","Otu00222",0.041642017191588,0.237604451034355,0.0277644010934939,0.134657345303445,0.334564764628604,0.930825186076822,7.61908643571439,8.26258878057462,3.00074957807358,"N","N","N"
"28","Otu00227",0.075335014115332,0.346824143701968,0.389000225274315,0.778586432656484,0.421131455778392,0.981452785874647,2.12642620096701,1.0167388175315,0.847766980538191,"N","N","N"
"29","Otu00234",0.0821227537263025,0.346824143701968,0.0875910248794465,0.303440336189511,0.166846960474523,0.735643416637668,2.33933602083123,2.27859139559335,1.64245892601802,"N","N","N"
"30","Otu00024",0.255590427542458,0.527495137694008,0.909358843426745,0.974135770760056,0.947481383837291,0.981452785874647,1.29339227073797,-0.128290787507889,0.0663458045012652,"N","N","N"
"31","Otu00243",0.982110123115483,0.993932657485038,0.224321490946558,0.621690989194746,0.2037254433877,0.760052615715649,-0.0295685895493002,-1.58131261793935,1.49004518432279,"N","N","N"
"32","Otu00248",0.518343548951412,0.708266522532901,0.999597938038132,1,0.941202873835704,0.981452785874647,0.597068757922552,-0.000463426474702264,0.0606200020465639,"N","N","N"
"33","Otu00252",0.616626221115891,0.766830044208223,0.906408482573738,0.974135770760056,0.239679982313265,0.80168821670299,-0.493506700447885,0.115706311893115,-1.03289779541749,"N","N","N"
"34","Otu00263",0.59639079571968,0.761182989273802,0.0357661604946379,0.157696253089994,0.0699683955259128,0.394933201877004,0.792086319945746,-2.98276772505679,-2.30435378053432,"N","N","N"
