"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"6235_637.2868_5.788_661_N/A_NA_NA_Organic compounds_Organic oxygen compounds_Organooxygen compounds_NA",1520782,17569410,342456,13628390,13395480,677879.8,1445875,356432.1,4925646,22614400,3511844,3872643,3478486,4193768,1989302,688725.9,1456832,1292139,13883730,420034.1,14735020,10595780,653853.8,1206974,286457.5,3132885,10910830,2289834,2410926,2939136,2006477,2684128,1617019,551670.5,0
"6236_596.2705_7.5756_34_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",1112971,6080391,4618218,1920076,2894799,1525357,1761261,1552820,3736571,3936545,798458.6,10688100,2853299,5673082,2533636,1507134,2632245,5234325,1590701,2350452,2276944,1783191,2742623,2126748,864621.1,1399338,1935453,4127071,6334300,2086403,876639.7,1263397,2381468,1295556,1017390
"6237_367.2271_10.3483_70_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",3880207,2776183,2572059,2020601,2558254,366058,444867.9,615692,1569239,2387590,1073020,450857.8,1464283,1011132,1317145,1078594,3035728,5959860,3502945,2150455,2439391,3551408,2286042,735400.1,497103.4,2436372,2086269,1339101,3427501,1419023,624801.8,2354926,4813039,2051222,473325.1
"6239_205.0972_2.389_590_Spectral Match to L-Tryptophan from NIST14_Spectral Match to L-Tryptophan from NIST14_NA_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_NA",10921970,5596171,3961880,27171960,5149550,1186389,678147.9,2782526,2192776,4661229,80058540,3285465,986904.8,7081012,1776819,2204428,7347072,2032424,2330384,863584.6,781042.7,1137181,480322.8,2164294,576565.4,668847.2,772300.3,2312876,1464320,546455.6,834095.6,817559.3,1924277,3057910,1758308
"6240_476.3007_8.4778_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",911258.9,967500,1096647,520562.7,477803,2277078,1169848,4596569,913308.8,878679.3,1244496,782371.5,1001531,658619,382372.3,2100594,716139.8,1015803,729450.5,2010969,794825.5,1779391,2019740,756754.8,1285776,2231326,569921.4,913211.9,489967.4,746602.7,679132,2206412,4397797,861196.6,1518449
"6242_600.3017_7.0547_228_N/A_Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Glycerophosphocholines",3934744,2318942,4939961,1978411,4468527,4385607,6420434,4472902,5195516,1839828,1829060,4322214,5095675,1024610,3081236,6666732,12239780,1954164,1476514,2954003,913301.4,2293890,6584251,1540872,1196297,2002463,2589753,2442732,3929529,2293166,797080.8,1122002,2988408,1127568,4092239
"6243_596.2707_4.9421_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",631785.3,1443733,986433.5,3130079,984564.6,5710720,2151217,1483851,2387419,1017996,838114.8,728096.4,932973.1,704032.9,1593853,1472695,942129.3,2952610,2573549,1478736,979366.7,1814205,1641367,4978934,2553212,1287731,1236878,2698743,1102878,4236873,605485.4,1944850,4906423,2112571,2157505
"6244_593.1297_13.1475_1838_N/A_NA_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Alpha-halocarboxylic acids and derivatives",487412.8,142643.9,240548.6,605813.2,179942.7,80158.5,182692.5,168299.5,774135,248661.4,285557.9,5519570,2614250,1194282,530340,278126.8,161445.3,155953.4,140385.1,97086.83,221392.5,135200.2,95754.6,83682.2,89295.77,570302.5,103433.1,276519.3,4869052,854867.8,587011,377680.6,185551,45238.64,187578.7
"6246_456.2384_8.9541_70_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",0,0,0,0,0,0,0,0,238459.1,208926.6,1754236,46989910,211105.8,333619,0,368604.5,0,758989.8,265838.4,0,14474930,154237.5,0,173606.2,0,9451562,5431823,487104.3,2597361,0,161214.4,215829.5,118930.8,313679.2,150867
"6248_460.1818_4.0561_692_N/A_NA_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzenesulfonyl compounds",45076650,13844170,15102380,11064890,12846010,20169860,192425100,293431200,14510850,15606010,30460040,191513800,14817640,11600280,36239750,37306200,301396900,45014330,10317490,6891272,165314000,7445100,14859500,24380690,11491180,13582650,39079180,6097977,165995600,14676270,31206750,260527800,23728340,19867960,29447340
"6249_322.2741_8.0288_210_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Azaspirodecane derivatives_NA",456634.9,1014464,792904.9,1530015,177130.1,324310.8,323363.6,465184.3,5241146,701168.9,408266.3,132029,1635660,15648780,445093.2,632164.3,534901.5,647896.1,586937.4,362883.1,1883451,232875.4,441303.3,501235.2,522186.4,2692032,805317.5,504115.5,163906,12903320,5819069,491172.6,279985.2,274972.7,505613.2
