"","Sample","Well","Plate","Plate_Well","Tube Name:","Sample ID:","All Events","include Events","Sym-FSC Events","Sym-SSC Events","All Events  Events/μL(V)","include Events/μL(V)","Sym-FSC Events/μL(V)...11","Sym-SSC Events/μL(V)...12","Notes.x","Run Volume","Run Speed (uL/min)","Run Time (seconds)","starting time gate (seconds)","run time for data collection (seconds)","volume for data collection (uL)","events/event*ul-1","include events/events*uL-1","symFSC events/symFSC events*uL-1","Sym-FSC Events/μL(V)_corrected","Sym-FSC Events/μL(V)...24","symFSC_diff_percentage","Sym-SSC Events/μL(V)_corrected","Sym-SSC Events/μL(V)...27","symSSC_diff_percentage","Length","Width","Height","Shape","Vol","SA","Notes.y","Aquaria","Timepoint_Heat","Genotype","Timepoint","Heat","Aquaria_Timepoint_Heat","Outlier","Outlier1","Collection_Bleaching_Level","Collection_Bleaching_Level1","Species","sym.con","events","sym.total","sym.SA","log10.sym.SA"
"34","PC_BL2_T7H_F","B6",3,"03-Well-B6","03-Well-B6",NA,4267,2043,200,267,35.53,22.2,1.67,2.22,"Use Sym-SSC Sym-SSC Events/μL(V)",120,60,120,10,110,110,120.0956938,"92.02702703","119.760479",1.818181818,1.67,"1.088731628",2.427272727,2.22,"0.914606742",1.4,2,0.8,"dome",10,13.5,NA,"BL2","T7H","F","T7","H","BL2_T7H",NA,NA,"BL","BL","Porites rus",2.427272727,267,24272.72727,1797.97979777778,3.25478480766255
"35","PC_BL3_T0C_A","B1",2,"02-Well-B1","02-Well-B1",NA,3650,1872,248,185,24.33,27.67,1.65,1.23,NA,150,30,300,10,290,145,150.0205508,"67.65449946","150.3030303",1.710344828,1.65,"1.036572623",1.275862069,1.23,"0.964054054",NA,1,2.4,"cylinder",10,18.22123739,NA,"BL3","T0C","A","T0","C","BL3_T0C",NA,NA,"BL","BL","Acropora pulchra",1.710344828,248,17103.44828,938.654599241792,2.9725058124588
"36","PC_BL3_T0C_B","B2",2,"02-Well-B2","02-Well-B2",NA,5180,2675,428,287,34.53,39.54,2.85,1.91,NA,150,30,300,10,290,145,150.0144802,"67.65300961","150.1754386",2.951724138,2.85,"1.03569268",1.979310345,1.91,"0.964982578",NA,0.8,2,"cylinder",10,12.06371579,"epiphytic algae. maybe","BL3","T0C","B","T0","C","BL3_T0C",NA,NA,"BL","BL","Acropora pulchra",2.951724138,428,29517.24138,2446.77857915617,3.38859466971893
"37","PC_BL3_T0C_C","B3",2,"02-Well-B3","02-Well-B3",NA,33428,23921,2041,1627,278.42,260.02,17,13.55,NA,120,60,120,10,110,110,120.0632138,"91.99676948","120.0588235",18.55454545,17,"1.09144385",14.79090909,13.55,"0.916103258",NA,1.7,5,"cylinder",10,62.48627788,NA,"BL3","T0C","C","T0","C","BL3_T0C",NA,NA,"BL","BL","Pocillopora verrucosa",18.55454545,2041,185545.4545,2969.37921084571,3.4726656636322
"38","PC_BL3_T0C_D","B4",2,"02-Well-B4","02-Well-B4",NA,89541,62005,7868,6869,745.9,674.13,65.54,57.22,"Use Sym-SSC Sym-SSC Events/μL(V)",120,60,120,10,110,110,120.0442419,"91.97780843","120.0488251",71.52727273,65.54,"1.091352956",62.44545455,57.22,"0.916319697",0.9,2.6,3.1,"box-y triangle",10,6.351608032,"one tip overgrown with algae — avoided","BL3","T0C","D","T0","C","BL3_T0C","Y",NA,"BL","BL","Pocillopora verrucosa",62.44545455,6869,624454.5455,98314.4020150392,4.99261714201843
"39","PC_BL3_T0C_E","B5",2,"02-Well-B5","02-Well-B5",NA,108209,71498,2602,1123,901.13,777.03,21.67,9.35,NA,120,60,120,10,110,110,120.0814533,"92.01446534","120.0738348",23.65454545,21.67,"1.091580316",10.20909091,9.35,"0.915850401",1.3,2.3,2.8,"box",10,23.15,NA,"BL3","T0C","E","T0","C","BL3_T0C",NA,NA,"BL","BL","Porites rus",23.65454545,2602,236545.4545,10217.9461987041,4.00936361162992
"40","PC_BL3_T0C_F","B6",2,"02-Well-B6","02-Well-B6",NA,72802,48200,4122,3062,606.62,524.22,34.35,25.51,NA,120,60,120,10,110,110,120.0125284,"91.94612949","120",37.47272727,34.35,"1.090909091",27.83636364,25.51,"0.916427172",NA,2,2.6,"cone",10,20.6,NA,"BL3","T0C","F","T0","C","BL3_T0C",NA,NA,"BL","BL","Porites rus",37.47272727,4122,374727.2727,18190.6443058252,4.25984808188421
"41","PC_BL3_T7C_A","B7",3,"03-Well-B7","03-Well-B7",NA,3010,2287,74,37,25.07,24.86,0.62,0.31,NA,120,60,120,10,110,110,120.0638213,"91.99517297","119.3548387",0.672727273,0.62,"1.085043988",0.336363636,0.31,"0.921621622",NA,1,2.3,"cylinder",10.5,17.59291886,NA,"BL3","T7C","A","T7","C","BL3_T7C",NA,NA,"BL","BL","Acropora pulchra",0.672727273,74,7063.6363665,401.504515692401,2.60369043412096
"42","PC_BL3_T7C_B","B8",3,"03-Well-B8","03-Well-B8",NA,2125,1572,219,104,17.69,17.08,1.82,0.87,NA,120,60,120,10,110,110,120.124364,"92.03747073","120.3296703",1.990909091,1.82,"1.093906094",0.945454545,0.87,"0.920192308",NA,0.9,2.2,"cylinder",10.5,14.98539696,NA,"BL3","T7C","B","T7","C","BL3_T7C",NA,NA,"BL","BL","Acropora pulchra",1.990909091,219,20904.5454555,1394.99444100812,3.14457247696854
"43","PC_BL3_T7C_C","B9",3,"03-Well-B9","03-Well-B9",NA,6591,4747,1633,888,54.89,51.59,13.6,7.4,NA,120,60,120,10,110,110,120.0765167,"92.01395619","120.0735294",14.84545455,13.6,"1.09157754",8.072727273,7.4,"0.916666667",1.6,1.9,2.5,"box w/ 2 missing sides",10,11.79,NA,"BL3","T7C","C","T7","C","BL3_T7C",NA,NA,"BL","BL","Pocillopora verrucosa",14.84545455,1633,148454.5455,12591.5645038168,4.10007969461633
"44","PC_BL3_T7C_D","B10",3,"03-Well-B10","03-Well-B10",NA,3593,2603,949,573,29.93,28.3,7.91,4.77,NA,120,60,120,10,110,110,120.0467758,"91.97879859","119.9747155",8.627272727,7.91,"1.090679232",5.209090909,4.77,"0.915706806",NA,1,2.4,"cylinder",10,18.22123739,"epiphytic algae. Some","BL3","T7C","D","T7","C","BL3_T7C","Y",NA,"BL","BL","Pocillopora verrucosa",8.627272727,949,86272.72727,4734.73482746827,3.67529566101783
"45","PC_BL3_T7C_E","B11",3,"03-Well-B11","03-Well-B11",NA,79966,58896,425,390,666.2,640.41,3.54,3.25,"Use Sym-SSC Sym-SSC Events/μL(V)",120,60,120,10,110,110,120.0330231,"91.96608423","120.0564972",3.863636364,3.54,"1.091422702",3.545454545,3.25,"0.916666667",NA,2.4,3.5,"square",10.5,16.8,"dead, epiphytic algae","BL3","T7C","E","T7","C","BL3_T7C","Y",NA,"BL","BL","Porites rus",3.545454545,390,37227.2727225,2215.909090625,3.34555193915667
"46","PC_BL3_T7C_F","B12",3,"03-Well-B12","03-Well-B12",NA,84851,59299,6616,5311,706.98,644.89,55.12,44.25,NA,120,60,120,10,110,110,120.0189539,"91.95211586","120.0290276",60.14545455,55.12,"1.091172978",48.28181818,44.25,"0.916494069",1.1,4.6,0.8,"square",10,14.18,NA,"BL3","T7C","F","T7","C","BL3_T7C",NA,NA,"BL","BL","Porites rus",60.14545455,6616,601454.5455,42415.6943229901,4.62752658057204
"47","PC_BL3_T7H_A","C1",3,"03-Well-C1","03-Well-C1",NA,1859,1212,4,1,15.49,13.18,0.03,0.01,NA,120,60,120,10,110,110,120.0129116,"91.95751138","133.3333333",0.036363636,0.03,"1.212121212",0.009090909,0.01,"1.1",NA,0.9,2.2,"cylinder",10,14.98539696,"dead, epiphytic algae","BL3","T7H","A","T7","H","BL3_T7H","Y",NA,"BL","BL","Acropora pulchra",0.036363636,4,363.63636,24.2660478711803,1.38499905002367
"48","PC_BL3_T7H_B","C2",3,"03-Well-C2","03-Well-C2",NA,3239,1785,26,9,26.98,23.63,0.22,0.07,NA,120,60,120,10,110,110,120.0518903,"75.53956835","118.1818182",0.236363636,0.22,"1.074380165",0.081818182,0.07,"0.855555556",NA,0.9,6.8,"dome",10,19.39421456,"dead, overgrown by green epiphytic algae","BL3","T7H","B","T7","H","BL3_T7H",NA,NA,"BL","BL","Acropora pulchra",0.236363636,26,2363.63636,121.873270644068,2.08590846620348
"49","PC_BL3_T7H_C","C3",3,"03-Well-C3","03-Well-C3",NA,1302,1069,11,2,10.83,11.34,0.09,0.02,NA,120,60,120,10,110,110,120.2216066,"94.2680776","122.2222222",0.1,0.09,"1.111111111",0.018181818,0.02,"1.1",NA,1.5,1.5,"dome",10,9.996486611,NA,"BL3","T7H","C","T7","H","BL3_T7H",NA,NA,"BL","BL","Pocillopora verrucosa",0.1,11,1000,100.035146238241,2.00015261135627
"50","PC_BL3_T7H_D","C4",3,"03-Well-C4","03-Well-C4",NA,1776,1396,29,8,14.79,15.17,0.24,0.07,NA,120,60,120,10,110,110,120.0811359,"92.02373105","120.8333333",0.263636364,0.24,"1.098484848",0.072727273,0.07,"0.9625",1,0.8,0.9,"box",10,4.04,NA,"BL3","T7H","D","T7","H","BL3_T7H",NA,NA,"BL","BL","Pocillopora verrucosa",0.263636364,29,2636.36364,652.565257425743,2.81462394822915
