"","rep(abund.nosub.asv$ASV, times = 3)","adjusted_pval","Treatment","l2fc","Mean_Abundance","significant","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","Genus_OTU","Family_Genus_OTU","Family_OTU","significant1","fontface","l2fcSE"
"200","Otu00075",0.0059961361892128,"Bleached",3.699305368824,420.333333333333,"Y","Otu00075","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00075","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00075","Pseudoalteromonadaceae_Otu00075","Y","bold",1.05834002057996
"203","Otu00085",0.00440238067393965,"Bleached",3.20308326623812,652.333333333333,"Y","Otu00085","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00085","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00085","Pseudoalteromonadaceae_Otu00085","Y","bold",0.889821282629881
"206","Otu00101",0.00251447730887074,"Bleached",3.2942067115137,131.333333333333,"Y","Otu00101","Bacteria(100)","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Otu00101","Saprospiraceae_uncultured_Otu00101","Saprospiraceae_Otu00101","Y","bold",0.87456271475139
"215","Otu00179",0.717557413171621,"Bleached",1.00227464057108,265.666666666667,"N","Otu00179","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00179","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00179","Alteromonadaceae_Otu00179","Y","bold",0.877359932763257
"216","Otu00181",0.0374773756557724,"Bleached",2.22139549894071,493,"Y","Otu00181","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00181","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00181","Rhodobacteraceae_Otu00181","Y","bold",0.790112722634479
"220","Otu00195",0.00218212264911799,"Bleached",1.62233856341164,317.333333333333,"Y","Otu00195","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00195","Alteromonadaceae_Alteromonas_Otu00195","Alteromonadaceae_Otu00195","Y","bold",0.420636133552672
"235","Otu00277",0.11047916344647,"Bleached",1.18356412530093,212,"N","Otu00277","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","uncultured_Otu00277","Flavobacteriaceae_uncultured_Otu00277","Flavobacteriaceae_Otu00277","Y","bold",0.507216608633876
"244","Otu00322",6.69234920504754e-08,"Bleached",22.9620234009231,0,"Y","Otu00322","Bacteria(100)","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Otu00322","Saprospiraceae_uncultured_Otu00322","Saprospiraceae_Otu00322","Y","bold",3.74604085323453
"245","Otu00327",0.0754032598761448,"Bleached",8.1936915274408,0,"N","Otu00327","Archaea(100)","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge","Marine_Group_II_ge_Otu00327","Marine_Group_II_fa_Marine_Group_II_ge_Otu00327","Marine_Group_II_fa_Otu00327","Y","bold",3.21895317881759
"250","Otu00368",0.231527246956637,"Bleached",-1.3818288943068,180.666666666667,"N","Otu00368","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00368","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00368","Alteromonadaceae_Otu00368","Y","bold",0.705844742627745
"257","Otu00410",0.000673238476312365,"Bleached",-8.51167515136484,133.333333333333,"Y","Otu00410","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Kordia","Kordia_Otu00410","Flavobacteriaceae_Kordia_Otu00410","Flavobacteriaceae_Otu00410","Y","bold",2.00648734632453
"258","Otu00419",0.0374773756557724,"Bleached",-7.98893700616227,89.3333333333333,"Y","Otu00419","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola","Litoricola_Otu00419","Litoricolaceae_Litoricola_Otu00419","Litoricolaceae_Otu00419","Y","bold",2.83599142874155
"264","Otu00457",0.941894423941767,"Bleached",0.494647402802261,110,"N","Otu00457","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00457","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00457","Rhodobacteraceae_Otu00457","Y","bold",1.74823822661112
"266","Otu00476",0.931170819571604,"Bleached",0.963710498027514,71.6666666666667,"N","Otu00476","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00476","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00476","Rhodobacteraceae_Otu00476","Y","bold",2.8652057149535
"267","Otu00480",0.00230616993192115,"Bleached",5.76672659385831,36,"Y","Otu00480","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","Phaeocystidibacter","Phaeocystidibacter_Otu00480","Cryomorphaceae_Phaeocystidibacter_Otu00480","Cryomorphaceae_Otu00480","Y","bold",1.51185592189783
"282","Otu00649",0.0370042835322815,"Bleached",2.10191414702218,66.6666666666667,"Y","Otu00649","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea","Thalassotalea_Otu00649","Colwelliaceae_Thalassotalea_Otu00649","Colwelliaceae_Otu00649","Y","bold",0.733039150394601
"286","Otu00686",0.663266210021249,"Bleached",1.95248204373049,152,"N","Otu00686","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00686","Alteromonadaceae_Alteromonas_Otu00686","Alteromonadaceae_Otu00686","Y","bold",1.58345061446579
"290","Otu00734",2.75587529562381e-19,"Bleached",23.8345121809589,0,"Y","Otu00734","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00734","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00734","Alteromonadaceae_Otu00734","Y","bold",2.50487972997878
"294","Otu00802",0.0416608760919435,"Bleached",-7.91403048323855,91.6666666666667,"Y","Otu00802","Bacteria(100)","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","OM27_clade_Otu00802","Bdellovibrionaceae_OM27_clade_Otu00802","Bdellovibrionaceae_Otu00802","Y","bold",2.86597010322572
"296","Otu00823",0.0331307515717283,"Bleached",9.12302453810704,0,"Y","Otu00823","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00823","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00823","Pseudoalteromonadaceae_Otu00823","Y","bold",3.12309623450887
"298","Otu00853",1,"Bleached",0,0,"N","Otu00853","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00853","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00853","Pseudoalteromonadaceae_Otu00853","Y","bold",3.09511570957502
