CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
82432	82435	9	0.9099	14.016
82411	82479	9	0.8583	-45.057
29979	52424	9	0.8023	14.016
82410	82432	9	0.7633	58.006
82410	82411	9	0.7445	-15.995
37219	110545	10	0.8434	-14.016
9928	37219	10	0.821	33.984
9928	110545	10	0.7799	19.969
38149	62827	10	0.9344	-14.016
9928	62827	10	0.8318	33.984
91307	110545	10	0.8087	-14.016
38149	110545	10	0.8011	-28.031
37219	38149	10	0.9363	14.016
9928	38149	10	0.8167	48.000
37219	62827	10	0.96	0.000
9928	90344	10	0.844	-14.016
90344	110545	10	0.7632	33.984
62827	110545	10	0.8513	-14.016
29265	61183	11	0.8871	-0.048
1149	17968	11	0.8796	7.989
1322	111482	11	0.9571	26.016
1184	1221	11	0.9149	-26.016
1268	4560	11	0.9405	-28.031
1149	59168	11	0.8855	-113.195
1174	4560	11	0.9428	-56.063
1193	1834	11	0.9331	54.047
1742	1802	11	0.8888	-69.969
1484	4525	11	0.9503	-14.016
1354	28701	11	0.854	0.000
4525	8104	11	0.9398	56.063
1185	1834	11	0.95	28.031
1149	1682	11	0.8878	83.985
1570	17968	11	0.8686	-54.104
3683	28797	11	0.8866	-0.054
1464	7253	11	0.9302	-24.000
1266	1322	11	0.9509	54.047
1185	23346	11	0.9313	14.016
1184	2084	11	0.9099	-54.047
1260	1445	11	0.9391	-12.000
1125	1219	11	0.9502	-14.016
1720	2013	11	0.9397	-14.016
1633	1864	11	0.974	0.000
1174	1748	11	0.9474	-54.047
1354	1364	11	0.9909	0.075
1266	1280	11	0.9535	-2.016
1430	2170	11	0.8774	-58.043
32275	85329	11	0.867	-12.036
1193	1280	11	0.9589	-26.016
1165	1280	11	0.9674	-28.031
1125	2729	11	0.8978	55.031
29405	73952	11	0.8541	-2.016
1472	1766	11	0.9194	14.016
1484	22184	11	0.9377	14.016
2729	85329	11	0.8513	-29.015
1802	2136	11	0.9019	-38.053
1203	2239	11	0.9358	-68.063
1260	1393	11	0.9422	14.016
1272	4525	11	0.9381	-70.078
1834	23346	11	0.9366	-14.016
1742	42387	11	0.8871	-211.195
2136	17968	11	0.8956	18.011
1185	1268	11	0.9168	-40.031
