Sample Name,Temp,Bleaching_Status,Stress_status,Treatment,Sample_Type,Timepoint_char,Timepoint,Bottle_NR,Notes,PLANC_aquaria,Experiment
ABC_186,Hot,Non Bleached,Thermal Stress,Heated,FCM,T16,16,6,,HE3_T7H,ABCDOM
ABC_187,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T16,16,7,,,ABCDOM
ABC_188,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T16,16,8,,,ABCDOM
ABC_189,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T16,16,9,,,ABCDOM
ABC_190,Ambient,Bleached,Ambient,Bleached,FCM,T16,16,10,,BL1_T7C,ABCDOM
ABC_191,Ambient,Bleached,Ambient,Bleached,FCM,T16,16,11,,BL2_T7C,ABCDOM
ABC_192,Ambient,Bleached,Ambient,Bleached,FCM,T16,16,12,,BL3_T7C,ABCDOM
ABC_193,Ambient,Non Bleached,Ambient,Control,FCM,T16,16,13,,HE1_T7C,ABCDOM
ABC_194,Ambient,Non Bleached,Ambient,Control,FCM,T16,16,14,,HE2_T7C,ABCDOM
ABC_195,Ambient,Non Bleached,Ambient,Control,FCM,T16,16,15,,HE3_T7C,ABCDOM
ABC_196,Ambient,NA,Ambient,Negative Control,FCM,T16,16,16,,,ABCDOM
ABC_197,Ambient,NA,Ambient,Negative Control,FCM,T16,16,17,,,ABCDOM
ABC_198,Ambient,NA,Ambient,Negative Control,FCM,T16,16,18,,,ABCDOM
ABC_199,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T20,20,1,,PB1_T7H,ABCDOM
ABC_200,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T20,20,2,,PB2_T7H,ABCDOM
ABC_201,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T20,20,3,,PB3_T7H,ABCDOM
ABC_202,Hot,Non Bleached,Thermal Stress,Heated,FCM,T20,20,4,Not taken,HE1_T7H,ABCDOM
ABC_203,Hot,Non Bleached,Thermal Stress,Heated,FCM,T20,20,5,,HE2_T7H,ABCDOM
ABC_204,Hot,Non Bleached,Thermal Stress,Heated,FCM,T20,20,6,,HE3_T7H,ABCDOM
ABC_205,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T20,20,7,,,ABCDOM
ABC_206,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T20,20,8,,,ABCDOM
ABC_207,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T20,20,9,,,ABCDOM
ABC_208,Ambient,Bleached,Ambient,Bleached,FCM,T20,20,10,,BL1_T7C,ABCDOM
ABC_209,Ambient,Bleached,Ambient,Bleached,FCM,T20,20,11,,BL2_T7C,ABCDOM
ABC_210,Ambient,Bleached,Ambient,Bleached,FCM,T20,20,12,,BL3_T7C,ABCDOM
ABC_211,Ambient,Non Bleached,Ambient,Control,FCM,T20,20,13,,HE1_T7C,ABCDOM
ABC_212,Ambient,Non Bleached,Ambient,Control,FCM,T20,20,14,,HE2_T7C,ABCDOM
ABC_213,Ambient,Non Bleached,Ambient,Control,FCM,T20,20,15,,HE3_T7C,ABCDOM
ABC_214,Ambient,NA,Ambient,Negative Control,FCM,T20,20,16,,,ABCDOM
ABC_215,Ambient,NA,Ambient,Negative Control,FCM,T20,20,17,,,ABCDOM
ABC_216,Ambient,NA,Ambient,Negative Control,FCM,T20,20,18,,,ABCDOM
