Code,Length,Width,Height,Shape,Vol,SA,Notes,Aquaria,Timepoint_Heat,Genotype,Timepoint,Heat,Aquaria_Timepoint_Heat,Outlier,Outlier1,Collection_Bleaching_Level,Collection_Bleaching_Level1
PC_HE3_T7H_F,,1.3,3.3,dome,15.5,14.48550184,,HE3,T7H,F,T7,H,HE3_T7H,,,HE,HE
PC_PB1_T0C_A,,0.9,2.8,cylinder,11.5,18.37831702,,PB1,T0C,A,T0,C,PB1_T0C,,,PB,BL
PC_PB1_T0C_B,,0.8,1.7,cylinder,10,10.55575132,,PB1,T0C,B,T0,C,PB1_T0C,,,PB,BL
PC_PB1_T0C_C,,1.5,3.6,cylinder,10,40.99778413,,PB1,T0C,C,T0,C,PB1_T0C,,,PB,BL
PC_PB1_T0C_D,,3.4,3.4,cone,10,51.35972677,,PB1,T0C,D,T0,C,PB1_T0C,,,PB,BL
PC_PB1_T0C_E,,2.1,2.3,dome,15,20.5473129,,PB1,T0C,E,T0,C,PB1_T0C,,,PB,BL
PC_PB1_T0C_F,,1.6,2.1,cone,15,13.27046816,,PB1,T0C,F,T0,C,PB1_T0C,,,PB,BL
PC_PB1_T7C_A,,0.9,3.6,cylinder,10,22.90221044,,PB1,T7C,A,T7,C,PB1_T7C,,,PB,BL
PC_PB1_T7C_B,,1.1,3.8,cylinder,10.5,30.06504169,,PB1,T7C,B,T7,C,PB1_T7C,,,PB,BL
PC_PB1_T7C_C,1.3,2.3,2.4,box,10,20.27,,PB1,T7C,C,T7,C,PB1_T7C,,,PB,BL
PC_PB1_T7C_D,,1,7,cylinder,10,47.1238898,No nubbin cause stupid,PB1,T7C,D,T7,C,PB1_T7C,,,PB,BL
PC_PB1_T7C_E,1.3,1.8,2.4,box,12,17.22,,PB1,T7C,E,T7,C,PB1_T7C,,,PB,BL
PC_PB1_T7C_F,1.4,2.1,2.6,box,10,21.14,,PB1,T7C,F,T7,C,PB1_T7C,,,PB,BL
PC_PB1_T7H_A,,0.9,2,cylinder,10,13.8544236,,PB1,T7H,A,T7,H,PB1_T7H,,,PB,BL
PC_PB1_T7H_B,,0.9,2.5,cylinder,10.5,16.68185699,,PB1,T7H,B,T7,H,PB1_T7H,,,PB,BL
PC_PB1_T7H_C,,1.4,6,cylinder,10,58.93627818,,PB1,T7H,C,T7,H,PB1_T7H,,,PB,BL
PC_PB1_T7H_D,,1.9,4.3,cylinder,10.5,62.67477344,,PB1,T7H,D,T7,H,PB1_T7H,,,PB,BL
PC_PB1_T7H_E,1.2,1.5,2,box,10,12.6,,PB1,T7H,E,T7,H,PB1_T7H,,,PB,BL
PC_PB1_T7H_F,1.1,2.1,2.2,box-y triangle,10,5.397278899,,PB1,T7H,F,T7,H,PB1_T7H,,,PB,BL
PC_PB2_T0C_A,,0.9,2,cylinder,10,13.8544236,,PB2,T0C,A,T0,C,PB2_T0C,,,PB,BL
PC_PB2_T0C_B,,0.9,2.4,cylinder,10,16.11637031,,PB2,T0C,B,T0,C,PB2_T0C,,,PB,BL
PC_PB2_T0C_C,,1.6,3.1,cylinder,10,39.20707632,one tip overgrown with algae — avoided,PB2,T0C,C,T0,C,PB2_T0C,,,PB,BL
PC_PB2_T0C_D,,1.1,3.1,cylinder,11,25.22698901,one tip overgrown with algae — avoided,PB2,T0C,D,T0,C,PB2_T0C,,,PB,BL
PC_PB2_T0C_E,1.1,2.4,3.1,box,15,24.34,,PB2,T0C,E,T0,C,PB2_T0C,,,PB,BL
PC_PB2_T0C_F,,1.4,2.4,,15,27.26902423,,PB2,T0C,F,T0,C,PB2_T0C,,,PB,BL
PC_PB2_T7C_A,,1,3.4,cylinder,10,24.5044227,,PB2,T7C,A,T7,C,PB2_T7C,,,PB,BL
PC_PB2_T7C_B,,0.9,4.2,cylinder,10.5,26.29513051,,PB2,T7C,B,T7,C,PB2_T7C,,,PB,BL
PC_PB2_T7C_C,,1.1,4.9,cylinder,15,37.66769592,"lost ~1ml, dead tip w/ algae tried to avoid",PB2,T7C,C,T7,C,PB2_T7C,,,PB,BL
PC_PB2_T7C_D,,1.2,5.1,cylinder,10,42.9769875,,PB2,T7C,D,T7,C,PB2_T7C,,,PB,BL
PC_PB2_T7C_E,1.4,1.9,2,box,15,15.86,,PB2,T7C,E,T7,C,PB2_T7C,,,PB,BL
PC_PB2_T7C_F,1.3,1.7,2.3,box,10,16.01,,PB2,T7C,F,T7,C,PB2_T7C,,,PB,BL
PC_PB2_T7H_A,,1,3,cylinder,12,21.99114858,,PB2,T7H,A,T7,H,PB2_T7H,,,PB,BL
PC_PB2_T7H_B,,1.1,3.3,cylinder,10,26.60928978,,PB2,T7H,B,T7,H,PB2_T7H,,,PB,BL
PC_PB2_T7H_C,0.9,1.5,4.4,box,10,22.47,,PB2,T7H,C,T7,H,PB2_T7H,,,PB,BL
PC_PB2_T7H_D,,1.2,1.7,dome,10.5,7.844677008,,PB2,T7H,D,T7,H,PB2_T7H,,,PB,BL
PC_PB2_T7H_E,1.5,1.8,2.8,box,12,21.18,,PB2,T7H,E,T7,H,PB2_T7H,,,PB,BL
PC_PB2_T7H_F,,1.3,3.5,cylinder,15,33.89778473,,PB2,T7H,F,T7,H,PB2_T7H,,,PB,BL
PC_PB3_T0C_A,,1.1,4.8,cylinder,10,36.97654553,,PB3,T0C,A,T0,C,PB3_T0C,,,PB,BL
PC_PB3_T0C_B,,0.9,2.6,cylinder,10,17.24734367,,PB3,T0C,B,T0,C,PB3_T0C,,,PB,BL
PC_PB3_T0C_C,2.1,2.3,3.1,box,10,32.11,,PB3,T0C,C,T0,C,PB3_T0C,,,PB,BL
PC_PB3_T0C_D,1.1,2.6,2.1,half box (triangle but width),10,10.63,,PB3,T0C,D,T0,C,PB3_T0C,,,PB,BL
PC_PB3_T0C_E,1,1.8,1.5,box,10,10.2,dead tissue avoided,PB3,T0C,E,T0,C,PB3_T0C,,,PB,BL
PC_PB3_T0C_F,,1.4,3.4,cylinder,15,36.06548366,,PB3,T0C,F,T0,C,PB3_T0C,,,PB,BL
PC_PB3_T7C_A,,0.9,1.1,cylinder,10,8.765043504,,PB3,T7C,A,T7,C,PB3_T7C,,,PB,BL
PC_PB3_T7C_B,,1,5.8,cylinder,10,39.58406744,,PB3,T7C,B,T7,C,PB3_T7C,,,PB,BL
PC_PB3_T7C_C,1.1,1.9,2.4,box,12.5,16.49,,PB3,T7C,C,T7,C,PB3_T7C,,,PB,BL
PC_PB3_T7C_D,,1,5,cylinder,11,34.55751919,two overgrown/dead tips,PB3,T7C,D,T7,C,PB3_T7C,Y,,PB,BL
PC_PB3_T7C_E,1.5,2.1,2.3,box w/ 1 missing side,10,14.88,,PB3,T7C,E,T7,C,PB3_T7C,,,PB,BL
PC_PB3_T7C_F,1.6,2.3,2.5,box-y triangle,15,9.418989458,,PB3,T7C,F,T7,C,PB3_T7C,,,PB,BL
PC_PB3_T7H_A,,1.2,4.3,cylinder,10,36.94512961,,PB3,T7H,A,T7,H,PB3_T7H,,,PB,BL
PC_PB3_T7H_B,,0.9,4.2,cylinder,10,26.29513051,,PB3,T7H,B,T7,H,PB3_T7H,,,PB,BL
PC_PB3_T7H_C,1.4,1.5,3.1,box,10,20.08,,PB3,T7H,C,T7,H,PB3_T7H,,,PB,BL
PC_PB3_T7H_D,,1.2,4.3,cylinder,13,36.94512961,,PB3,T7H,D,T7,H,PB3_T7H,,,PB,BL
PC_PB3_T7H_E,0.9,2.3,2.5,box,13.5,18.07,No nubbin cause stupid,PB3,T7H,E,T7,H,PB3_T7H,Y,Y,PB,BL
PC_PB3_T7H_F,1.5,2,2.5,box,10.5,20.5,,PB3,T7H,F,T7,H,PB3_T7H,,,PB,BL
