,PLANC_aquaria_name,SampleID,X,Sample.Name,Concentration,Treatment.x,Bottle,Timepoint..h.,Temp,origin,Treatment.y,Sample.Type,Timepoint.x,Hours,Bottle_NR,Notes,sym_total,sym_total..no.outliers.,SA,SA_no_outliers,sym.SA.normalized.no.outliers,sym.SA.normalized,Aquaria_timepoint_heat,Aquaria,Timepoint.y,Heat,Coral_Health,abcDOM_Treatment,Coral_Health_Heat,Timepoint_Heat,sym.group1,log10.sym.SA.normalized.no.outliers,sym.group1.1,sym.group2,sym.group3,bleaching_trajectory,Collection_Bleaching_Level1,Bleaching_Susceptability,Treatment
88,HE1_T7C,ABC_211,104,A8,1899.43,Healthy,13,20,Ambient,Healthy,Coral Control,FCM,T,20,13,NA,13360205,8019100,128.5730032,75.3544236,106418.4373,103911.433,HE1_T7C,HE1,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.027016877,High Sym,High Sym,High Sym,Bleaching,HE,Resistant,Control
89,HE1_T7C,ABC_175,66,F3,1040.18,Healthy,13,12,Ambient,Healthy,Coral Control,FCM,T12,12,13,NA,13360205,8019100,128.5730032,75.3544236,106418.4373,103911.433,HE1_T7C,HE1,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.027016877,High Sym,High Sym,High Sym,Bleaching,HE,Resistant,Control
90,HE1_T7C,ABC_229,118,C1,1827.12,Healthy,13,24,Ambient,Healthy,Coral Control,FCM,T,24,13,NA,13360205,8019100,128.5730032,75.3544236,106418.4373,103911.433,HE1_T7C,HE1,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.027016877,High Sym,High Sym,High Sym,Bleaching,HE,Resistant,Control
91,HE2_T7C,ABC_194,84,G9,1194.96,Healthy,14,16,Ambient,Healthy,Coral Control,FCM,T16,16,14,NA,13294780,13273680,139.4142319,127.4742319,104128.3387,95361.71319,HE2_T7C,HE2,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.01756894,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Control
92,HE2_T7C,ABC_247,139,D7,1289.06,Healthy,14,32,Ambient,Healthy,Coral Control,FCM,T,32,14,NA,13294780,13273680,139.4142319,127.4742319,104128.3387,95361.71319,HE2_T7C,HE2,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.01756894,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Control
93,HE2_T7C,ABC_212,105,A9,1374.54,Healthy,14,20,Ambient,Healthy,Coral Control,FCM,T,20,14,NA,13294780,13273680,139.4142319,127.4742319,104128.3387,95361.71319,HE2_T7C,HE2,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.01756894,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Control
94,HE2_T7C,ABC_122,13,B1,145.06,Healthy,14,0,Ambient,Healthy,Coral Control,FCM,T0,0,14,NA,13294780,13273680,139.4142319,127.4742319,104128.3387,95361.71319,HE2_T7C,HE2,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.01756894,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Control
95,HE2_T7C,ABC_140,33,C6,169.04,Healthy,14,2,Ambient,Healthy,Coral Control,FCM,T2,2,14,NA,13294780,13273680,139.4142319,127.4742319,104128.3387,95361.71319,HE2_T7C,HE2,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.01756894,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Control
96,HE2_T7C,ABC_264,145,E12,1087.14,Healthy,14,36,Ambient,Healthy,Coral Control,FCM,T,36,14,NA,13294780,13273680,139.4142319,127.4742319,104128.3387,95361.71319,HE2_T7C,HE2,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.01756894,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Control
97,HE2_T7C,ABC_230,122,C2,1367.45,Healthy,14,24,Ambient,Healthy,Coral Control,FCM,T,24,14,NA,13294780,13273680,139.4142319,127.4742319,104128.3387,95361.71319,HE2_T7C,HE2,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.01756894,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Control
98,HE2_T7C,ABC_158,39,D11,437.96,Healthy,14,8,Ambient,Healthy,Coral Control,FCM,T8,8,14,NA,13294780,13273680,139.4142319,127.4742319,104128.3387,95361.71319,HE2_T7C,HE2,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.01756894,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Control
99,HE2_T7C,ABC_176,67,F4,907.88,Healthy,14,12,Ambient,Healthy,Coral Control,FCM,T12,12,14,NA,13294780,13273680,139.4142319,127.4742319,104128.3387,95361.71319,HE2_T7C,HE2,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.01756894,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Control
100,HE2_T7H,ABC_203,89,H5,4045.38,Bleaching,5,20,Hot,Healthy,Bleaching,FCM,T,20,5,NA,12254100,12254100,110.7376261,110.7376261,110658.8649,110658.8649,HE2_T7H,HE2,T7,H,Healthy,Bleaching,Healthy_H,T7_H,High Sym,5.043986211,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Thermal Stress
101,HE2_T7H,ABC_221,113,B5,3950.33,Bleaching,5,24,Hot,Healthy,Bleaching,FCM,T,24,5,NA,12254100,12254100,110.7376261,110.7376261,110658.8649,110658.8649,HE2_T7H,HE2,T7,H,Healthy,Bleaching,Healthy_H,T7_H,High Sym,5.043986211,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Thermal Stress
102,HE2_T7H,ABC_255,147,E3,3415.04,Bleaching,5,36,Hot,Healthy,Bleaching,FCM,T,36,5,NA,12254100,12254100,110.7376261,110.7376261,110658.8649,110658.8649,HE2_T7H,HE2,T7,H,Healthy,Bleaching,Healthy_H,T7_H,High Sym,5.043986211,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Thermal Stress
103,HE2_T7H,ABC_113,7,A4,332.55,Bleaching,5,0,Hot,Healthy,Bleaching,FCM,T0,0,5,NA,12254100,12254100,110.7376261,110.7376261,110658.8649,110658.8649,HE2_T7H,HE2,T7,H,Healthy,Bleaching,Healthy_H,T7_H,High Sym,5.043986211,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Thermal Stress
104,HE2_T7H,ABC_238,119,C10,3912.34,Bleaching,5,32,Hot,Healthy,Bleaching,FCM,T,32,5,NA,12254100,12254100,110.7376261,110.7376261,110658.8649,110658.8649,HE2_T7H,HE2,T7,H,Healthy,Bleaching,Healthy_H,T7_H,High Sym,5.043986211,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Thermal Stress
105,HE2_T7H,ABC_149,41,D2,1602.74,Bleaching,5,8,Hot,Healthy,Bleaching,FCM,T8,8,5,NA,12254100,12254100,110.7376261,110.7376261,110658.8649,110658.8649,HE2_T7H,HE2,T7,H,Healthy,Bleaching,Healthy_H,T7_H,High Sym,5.043986211,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Thermal Stress
106,HE2_T7H,ABC_131,24,B9,177.78,Bleaching,5,2,Hot,Healthy,Bleaching,FCM,T2,2,5,NA,12254100,12254100,110.7376261,110.7376261,110658.8649,110658.8649,HE2_T7H,HE2,T7,H,Healthy,Bleaching,Healthy_H,T7_H,High Sym,5.043986211,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Thermal Stress
107,HE2_T7H,ABC_185,64,F12,2859.9,Bleaching,5,16,Hot,Healthy,Bleaching,FCM,T16,16,5,NA,12254100,12254100,110.7376261,110.7376261,110658.8649,110658.8649,HE2_T7H,HE2,T7,H,Healthy,Bleaching,Healthy_H,T7_H,High Sym,5.043986211,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Thermal Stress
108,HE2_T7H,ABC_167,58,E7,2744.33,Bleaching,5,12,Hot,Healthy,Bleaching,FCM,T12,12,5,NA,12254100,12254100,110.7376261,110.7376261,110658.8649,110658.8649,HE2_T7H,HE2,T7,H,Healthy,Bleaching,Healthy_H,T7_H,High Sym,5.043986211,High Sym,High Sym,High Sym,Recovering,HE,Resistant,Thermal Stress
109,HE3_T7C,ABC_248,140,D8,1263.24,Healthy,15,32,Ambient,Healthy,Coral Control,FCM,T,32,15,NA,9616700,9616700,162.0466647,162.0466647,59345.25107,59345.25107,HE3_T7C,HE3,T7,C,Healthy,Healthy,Healthy_C,T7_C,Medium Sym,4.773385972,Medium Sym,Medium Sym,Medium Sym,Bleaching,HE,Resistant,Control
110,HE3_T7C,ABC_195,74,G10,1335.02,Healthy,15,16,Ambient,Healthy,Coral Control,FCM,T16,16,15,NA,9616700,9616700,162.0466647,162.0466647,59345.25107,59345.25107,HE3_T7C,HE3,T7,C,Healthy,Healthy,Healthy_C,T7_C,Medium Sym,4.773385972,Medium Sym,Medium Sym,Medium Sym,Bleaching,HE,Resistant,Control
111,HE3_T7C,ABC_265,154,F1,1027,Healthy,15,36,Ambient,Healthy,Coral Control,FCM,T,36,15,NA,9616700,9616700,162.0466647,162.0466647,59345.25107,59345.25107,HE3_T7C,HE3,T7,C,Healthy,Healthy,Healthy_C,T7_C,Medium Sym,4.773385972,Medium Sym,Medium Sym,Medium Sym,Bleaching,HE,Resistant,Control
112,HE3_T7C,ABC_123,17,B2,207.84,Healthy,15,0,Ambient,Healthy,Coral Control,FCM,T0,0,15,NA,9616700,9616700,162.0466647,162.0466647,59345.25107,59345.25107,HE3_T7C,HE3,T7,C,Healthy,Healthy,Healthy_C,T7_C,Medium Sym,4.773385972,Medium Sym,Medium Sym,Medium Sym,Bleaching,HE,Resistant,Control
113,HE3_T7C,ABC_213,95,A10,1771.64,Healthy,15,20,Ambient,Healthy,Coral Control,FCM,T,20,15,NA,9616700,9616700,162.0466647,162.0466647,59345.25107,59345.25107,HE3_T7C,HE3,T7,C,Healthy,Healthy,Healthy_C,T7_C,Medium Sym,4.773385972,Medium Sym,Medium Sym,Medium Sym,Bleaching,HE,Resistant,Control
114,HE3_T7C,ABC_159,40,D12,516.94,Healthy,15,8,Ambient,Healthy,Coral Control,FCM,T8,8,15,NA,9616700,9616700,162.0466647,162.0466647,59345.25107,59345.25107,HE3_T7C,HE3,T7,C,Healthy,Healthy,Healthy_C,T7_C,Medium Sym,4.773385972,Medium Sym,Medium Sym,Medium Sym,Bleaching,HE,Resistant,Control
115,HE3_T7C,ABC_141,34,C7,192.69,Healthy,15,2,Ambient,Healthy,Coral Control,FCM,T2,2,15,NA,9616700,9616700,162.0466647,162.0466647,59345.25107,59345.25107,HE3_T7C,HE3,T7,C,Healthy,Healthy,Healthy_C,T7_C,Medium Sym,4.773385972,Medium Sym,Medium Sym,Medium Sym,Bleaching,HE,Resistant,Control
116,HE3_T7C,ABC_231,123,C3,1491.38,Healthy,15,24,Ambient,Healthy,Coral Control,FCM,T,24,15,NA,9616700,9616700,162.0466647,162.0466647,59345.25107,59345.25107,HE3_T7C,HE3,T7,C,Healthy,Healthy,Healthy_C,T7_C,Medium Sym,4.773385972,Medium Sym,Medium Sym,Medium Sym,Bleaching,HE,Resistant,Control
117,HE3_T7C,ABC_177,68,F5,1309.68,Healthy,15,12,Ambient,Healthy,Coral Control,FCM,T12,12,15,NA,9616700,9616700,162.0466647,162.0466647,59345.25107,59345.25107,HE3_T7C,HE3,T7,C,Healthy,Healthy,Healthy_C,T7_C,Medium Sym,4.773385972,Medium Sym,Medium Sym,Medium Sym,Bleaching,HE,Resistant,Control
118,HE3_T7H,ABC_204,94,A1,2133.76,Bleaching,6,20,Hot,Healthy,Bleaching,FCM,T,20,6,NA,14215345,14215345,200.6876984,200.6876984,70833.16572,70833.16572,HE3_T7H,HE3,T7,H,Healthy,Bleaching,Healthy_H,T7_H,Medium Sym,4.850236652,Medium Sym,High Sym,Medium Sym,Bleaching,HE,Resistant,Thermal Stress
119,HE3_T7H,ABC_239,120,C11,2101.94,Bleaching,6,32,Hot,Healthy,Bleaching,FCM,T,32,6,NA,14215345,14215345,200.6876984,200.6876984,70833.16572,70833.16572,HE3_T7H,HE3,T7,H,Healthy,Bleaching,Healthy_H,T7_H,Medium Sym,4.850236652,Medium Sym,High Sym,Medium Sym,Bleaching,HE,Resistant,Thermal Stress
120,HE3_T7H,ABC_114,8,A5,159.96,Bleaching,6,0,Hot,Healthy,Bleaching,FCM,T0,0,6,NA,14215345,14215345,200.6876984,200.6876984,70833.16572,70833.16572,HE3_T7H,HE3,T7,H,Healthy,Bleaching,Healthy_H,T7_H,Medium Sym,4.850236652,Medium Sym,High Sym,Medium Sym,Bleaching,HE,Resistant,Thermal Stress
121,HE3_T7H,ABC_256,148,E4,1683.52,Bleaching,6,36,Hot,Healthy,Bleaching,FCM,T,36,6,NA,14215345,14215345,200.6876984,200.6876984,70833.16572,70833.16572,HE3_T7H,HE3,T7,H,Healthy,Bleaching,Healthy_H,T7_H,Medium Sym,4.850236652,Medium Sym,High Sym,Medium Sym,Bleaching,HE,Resistant,Thermal Stress
122,HE3_T7H,ABC_132,14,B10,179.8,Bleaching,6,2,Hot,Healthy,Bleaching,FCM,T2,2,6,NA,14215345,14215345,200.6876984,200.6876984,70833.16572,70833.16572,HE3_T7H,HE3,T7,H,Healthy,Bleaching,Healthy_H,T7_H,Medium Sym,4.850236652,Medium Sym,High Sym,Medium Sym,Bleaching,HE,Resistant,Thermal Stress
123,HE3_T7H,ABC_222,114,B6,2369.8,Bleaching,6,24,Hot,Healthy,Bleaching,FCM,T,24,6,NA,14215345,14215345,200.6876984,200.6876984,70833.16572,70833.16572,HE3_T7H,HE3,T7,H,Healthy,Bleaching,Healthy_H,T7_H,Medium Sym,4.850236652,Medium Sym,High Sym,Medium Sym,Bleaching,HE,Resistant,Thermal Stress
124,HE3_T7H,ABC_186,73,G1,2034.06,Bleaching,6,16,Hot,Healthy,Bleaching,FCM,T16,16,6,NA,14215345,14215345,200.6876984,200.6876984,70833.16572,70833.16572,HE3_T7H,HE3,T7,H,Healthy,Bleaching,Healthy_H,T7_H,Medium Sym,4.850236652,Medium Sym,High Sym,Medium Sym,Bleaching,HE,Resistant,Thermal Stress
125,HE3_T7H,ABC_150,42,D3,618.88,Bleaching,6,8,Hot,Healthy,Bleaching,FCM,T8,8,6,NA,14215345,14215345,200.6876984,200.6876984,70833.16572,70833.16572,HE3_T7H,HE3,T7,H,Healthy,Bleaching,Healthy_H,T7_H,Medium Sym,4.850236652,Medium Sym,High Sym,Medium Sym,Bleaching,HE,Resistant,Thermal Stress
126,HE3_T7H,ABC_168,59,E8,1631.2,Bleaching,6,12,Hot,Healthy,Bleaching,FCM,T12,12,6,NA,14215345,14215345,200.6876984,200.6876984,70833.16572,70833.16572,HE3_T7H,HE3,T7,H,Healthy,Bleaching,Healthy_H,T7_H,Medium Sym,4.850236652,Medium Sym,High Sym,Medium Sym,Bleaching,HE,Resistant,Thermal Stress
127,PB1_T7H,ABC_109,1,A1,167.29,Bleaching-Dying,1,0,Hot,Partially Bleached,Dying,FCM,T0,0,1,NA,4023655,4023655,170.1446111,170.1446111,23648.44219,23648.44219,PB1_T7H,PB1,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,23648.44219,4.373802537,Very Low Sym,Low Sym,Low Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
128,PB1_T7H,ABC_199,86,H2,2062,Bleaching-Dying,1,20,Hot,Partially Bleached,Dying,FCM,T,20,1,NA,4023655,4023655,170.1446111,170.1446111,23648.44219,23648.44219,PB1_T7H,PB1,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,23648.44219,4.373802537,Very Low Sym,Low Sym,Low Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
129,PB1_T7H,ABC_235,127,C7,1984.29,Bleaching-Dying,1,32,Hot,Partially Bleached,Dying,FCM,T,32,1,NA,4023655,4023655,170.1446111,170.1446111,23648.44219,23648.44219,PB1_T7H,PB1,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,23648.44219,4.373802537,Very Low Sym,Low Sym,Low Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
130,PB1_T7H,ABC_163,55,E4,1369.26,Bleaching-Dying,1,12,Hot,Partially Bleached,Dying,FCM,T12,12,1,NA,4023655,4023655,170.1446111,170.1446111,23648.44219,23648.44219,PB1_T7H,PB1,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,23648.44219,4.373802537,Very Low Sym,Low Sym,Low Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
131,PB1_T7H,ABC_127,21,B6,139.72,Bleaching-Dying,1,2,Hot,Partially Bleached,Dying,FCM,T2,2,1,NA,4023655,4023655,170.1446111,170.1446111,23648.44219,23648.44219,PB1_T7H,PB1,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,23648.44219,4.373802537,Very Low Sym,Low Sym,Low Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
132,PB1_T7H,ABC_181,72,F9,1875.1,Bleaching-Dying,1,16,Hot,Partially Bleached,Dying,FCM,T16,16,1,NA,4023655,4023655,170.1446111,170.1446111,23648.44219,23648.44219,PB1_T7H,PB1,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,23648.44219,4.373802537,Very Low Sym,Low Sym,Low Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
133,PB1_T7H,ABC_217,110,B2,2199.37,Bleaching-Dying,1,24,Hot,Partially Bleached,Dying,FCM,T,24,1,NA,4023655,4023655,170.1446111,170.1446111,23648.44219,23648.44219,PB1_T7H,PB1,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,23648.44219,4.373802537,Very Low Sym,Low Sym,Low Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
134,PB1_T7H,ABC_145,27,C11,679.66,Bleaching-Dying,1,8,Hot,Partially Bleached,Dying,FCM,T8,8,1,NA,4023655,4023655,170.1446111,170.1446111,23648.44219,23648.44219,PB1_T7H,PB1,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,23648.44219,4.373802537,Very Low Sym,Low Sym,Low Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
135,PB1_T7H,ABC_252,133,D12,1641.14,Bleaching-Dying,1,36,Hot,Partially Bleached,Dying,FCM,T,36,1,NA,4023655,4023655,170.1446111,170.1446111,23648.44219,23648.44219,PB1_T7H,PB1,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,23648.44219,4.373802537,Very Low Sym,Low Sym,Low Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
136,PB2_T7H,ABC_164,56,E5,1723.76,Bleaching-Dying,2,12,Hot,Partially Bleached,Dying,FCM,T12,12,2,NA,5720085,5720085,133.9929001,133.9929001,42689.46337,42689.46337,PB2_T7H,PB2,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,42689.46337,4.630320695,Low Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
137,PB2_T7H,ABC_182,62,F10,2057.38,Bleaching-Dying,2,16,Hot,Partially Bleached,Dying,FCM,T16,16,2,NA,5720085,5720085,133.9929001,133.9929001,42689.46337,42689.46337,PB2_T7H,PB2,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,42689.46337,4.630320695,Low Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
138,PB2_T7H,ABC_200,87,H3,2012.5,Bleaching-Dying,2,20,Hot,Partially Bleached,Dying,FCM,T,20,2,NA,5720085,5720085,133.9929001,133.9929001,42689.46337,42689.46337,PB2_T7H,PB2,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,42689.46337,4.630320695,Low Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
139,PB2_T7H,ABC_110,5,A2,163.1,Bleaching-Dying,2,0,Hot,Partially Bleached,Dying,FCM,T0,0,2,NA,5720085,5720085,133.9929001,133.9929001,42689.46337,42689.46337,PB2_T7H,PB2,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,42689.46337,4.630320695,Low Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
140,PB2_T7H,ABC_218,111,B3,2129.42,Bleaching-Dying,2,24,Hot,Partially Bleached,Dying,FCM,T,24,2,NA,5720085,5720085,133.9929001,133.9929001,42689.46337,42689.46337,PB2_T7H,PB2,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,42689.46337,4.630320695,Low Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
141,PB2_T7H,ABC_146,28,C12,862.52,Bleaching-Dying,2,8,Hot,Partially Bleached,Dying,FCM,T8,8,2,NA,5720085,5720085,133.9929001,133.9929001,42689.46337,42689.46337,PB2_T7H,PB2,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,42689.46337,4.630320695,Low Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
142,PB2_T7H,ABC_128,22,B7,171.29,Bleaching-Dying,2,2,Hot,Partially Bleached,Dying,FCM,T2,2,2,NA,5720085,5720085,133.9929001,133.9929001,42689.46337,42689.46337,PB2_T7H,PB2,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,42689.46337,4.630320695,Low Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
143,PB2_T7H,ABC_236,128,C8,1963.76,Bleaching-Dying,2,32,Hot,Partially Bleached,Dying,FCM,T,32,2,NA,5720085,5720085,133.9929001,133.9929001,42689.46337,42689.46337,PB2_T7H,PB2,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,42689.46337,4.630320695,Low Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
144,PB2_T7H,ABC_253,142,E1,1653.68,Bleaching-Dying,2,36,Hot,Partially Bleached,Dying,FCM,T,36,2,NA,5720085,5720085,133.9929001,133.9929001,42689.46337,42689.46337,PB2_T7H,PB2,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,42689.46337,4.630320695,Low Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
145,PB3_T7H,ABC_201,88,H4,2170.9,Bleaching-Dying,3,20,Hot,Partially Bleached,Dying,FCM,T,20,3,NA,8073710,7970300,158.8353897,140.7653897,56621.16246,50830.67453,PB3_T7H,PB3,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,Medium Sym,4.752978781,Medium Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
146,PB3_T7H,ABC_219,112,B4,2116.62,Bleaching-Dying,3,24,Hot,Partially Bleached,Dying,FCM,T,24,3,NA,8073710,7970300,158.8353897,140.7653897,56621.16246,50830.67453,PB3_T7H,PB3,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,Medium Sym,4.752978781,Medium Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
147,PB3_T7H,ABC_237,129,C9,2079.2,Bleaching-Dying,3,32,Hot,Partially Bleached,Dying,FCM,T,32,3,NA,8073710,7970300,158.8353897,140.7653897,56621.16246,50830.67453,PB3_T7H,PB3,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,Medium Sym,4.752978781,Medium Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
148,PB3_T7H,ABC_165,57,E6,1640.41,Bleaching-Dying,3,12,Hot,Partially Bleached,Dying,FCM,T12,12,3,NA,8073710,7970300,158.8353897,140.7653897,56621.16246,50830.67453,PB3_T7H,PB3,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,Medium Sym,4.752978781,Medium Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
149,PB3_T7H,ABC_183,63,F11,1877,Bleaching-Dying,3,16,Hot,Partially Bleached,Dying,FCM,T16,16,3,NA,8073710,7970300,158.8353897,140.7653897,56621.16246,50830.67453,PB3_T7H,PB3,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,Medium Sym,4.752978781,Medium Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
150,PB3_T7H,ABC_129,23,B8,196.66,Bleaching-Dying,3,2,Hot,Partially Bleached,Dying,FCM,T2,2,3,NA,8073710,7970300,158.8353897,140.7653897,56621.16246,50830.67453,PB3_T7H,PB3,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,Medium Sym,4.752978781,Medium Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
151,PB3_T7H,ABC_147,37,D1,522.04,Bleaching-Dying,3,8,Hot,Partially Bleached,Dying,FCM,T8,8,3,NA,8073710,7970300,158.8353897,140.7653897,56621.16246,50830.67453,PB3_T7H,PB3,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,Medium Sym,4.752978781,Medium Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
152,PB3_T7H,ABC_111,6,A3,174.86,Bleaching-Dying,3,0,Hot,Partially Bleached,Dying,FCM,T0,0,3,NA,8073710,7970300,158.8353897,140.7653897,56621.16246,50830.67453,PB3_T7H,PB3,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,Medium Sym,4.752978781,Medium Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
153,PB3_T7H,ABC_254,146,E2,1678.3,Bleaching-Dying,3,36,Hot,Partially Bleached,Dying,FCM,T,36,3,NA,8073710,7970300,158.8353897,140.7653897,56621.16246,50830.67453,PB3_T7H,PB3,T7,H,Partially_Bleaching,Bleaching-Dying,Partially_Bleaching_H,T7_H,Medium Sym,4.752978781,Medium Sym,Medium Sym,Medium Sym,Recovering,BL,SemiResistant,"Bleached
+
Thermal Stress"
154,NA,Q+SYBR,91,H7,2.6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,NA,FOCUS+SYBR,93,H9,5.41,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,NA,Q,90,H6,23.29,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,NA,FOCUS,92,H8,3.1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
