Tree#,Groups,WScore
1,A2_c_T36-ABC_009,0.533804
1,A2_w_T00-ABC_009,0.318355
1,A2_w_T36-ABC_009,0.435334
1,A2_x_T00-ABC_009,0.29462
1,A2_x_T_48-ABC_009,0.474446
1,A3_a_T00-ABC_009,0.31826
1,A3_a_T36-ABC_009,0.44467
1,A3_c_T00-ABC_009,0.371264
1,A3_c_T36-ABC_009,0.478869
1,A3_w_T00-ABC_009,0.351874
1,A3_w_T36-ABC_009,0.429342
1,A3_x_T00-ABC_009,0.345968
1,A3_x_T_48-ABC_009,0.43617
1,ABC_001-ABC_009,0.057831
1,ABC_002-ABC_009,0.067387
1,ABC_003-ABC_009,0.043267
1,ABC_005-ABC_009,0.075128
1,ABC_006-ABC_009,0.053349
1,ABC_007-ABC_009,0.057671
1,ABC_008-ABC_009,0.054274
1,A1_a_T00-ABC_010,0.299174
1,A1_a_T36-ABC_010,0.422194
1,A1_c_T00-ABC_010,0.32176
1,A1_c_T36-ABC_010,0.470751
1,A1_w_T00-ABC_010,0.292966
1,A1_w_T36-ABC_010,0.433634
1,A1_x_T00-ABC_010,0.361408
1,A1_x_T_48-ABC_010,0.523619
1,A2_a_T00-ABC_010,0.294504
1,A2_a_T36-ABC_010,0.456652
1,A2_c_T00-ABC_010,0.289712
1,A2_c_T36-ABC_010,0.507068
1,A2_w_T00-ABC_010,0.320584
1,A2_w_T36-ABC_010,0.435216
1,A2_x_T00-ABC_010,0.353988
1,A2_x_T_48-ABC_010,0.528849
1,A3_a_T00-ABC_010,0.312953
1,A3_a_T36-ABC_010,0.428575
1,A3_c_T00-ABC_010,0.310501
1,A3_c_T36-ABC_010,0.465976
1,A3_w_T00-ABC_010,0.32492
1,A3_w_T36-ABC_010,0.413369
1,A3_x_T00-ABC_010,0.388718
1,A3_x_T_48-ABC_010,0.484726
1,ABC_001-ABC_010,0.246066
1,ABC_002-ABC_010,0.251954
1,ABC_003-ABC_010,0.249009
1,ABC_005-ABC_010,0.254796
1,ABC_006-ABC_010,0.254713
1,ABC_007-ABC_010,0.244324
1,ABC_008-ABC_010,0.247553
1,ABC_009-ABC_010,0.259718
1,A1_a_T00-ABC_011,0.266509
1,A1_a_T36-ABC_011,0.414213
1,A1_c_T00-ABC_011,0.297262
1,A1_c_T36-ABC_011,0.459625
1,A1_w_T00-ABC_011,0.278487
1,A1_w_T36-ABC_011,0.428509
