ID1,ID2,EdgeType,Score,Annotation
863,886,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
863,1165,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9842
864,974,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
867,1002,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0270
868,1255,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
873,1537,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
877,878,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0001
878,1166,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9844
882,1458,MS1 annotation,2.000,[2M+2H]2+ [M+NH4]+ dm/z=17.0260
886,1332,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
889,1743,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
890,1085,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0269
899,9761,MS1 annotation,2.000,[M-H2O+Na]+ [M+K]+ dm/z=33.9843
899,6494,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
902,1007,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
903,915,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
906,1369,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0264
916,953,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
920,1699,MS1 annotation,3.000,[2M+H]+ [M+Na]+ dm/z=312.1761
920,4958,MS1 annotation,3.000,[M+ACN+Na]+ [M+Na]+ dm/z=41.0264
927,1179,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9999
927,1143,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
932,977,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
934,8665,MS1 annotation,5.000,[M+ACN+H]+ [M+ACN+H]+ dm/z=0.0000
934,1495,MS1 annotation,5.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
934,8421,MS1 annotation,5.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
934,7798,MS1 annotation,5.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
939,6598,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0001
940,949,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9844
940,3688,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9951
942,981,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9998
944,1274,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
959,971,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
959,1332,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9841
963,1298,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
969,1096,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
976,1041,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
983,1054,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
993,1441,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0268
1008,1659,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1016,2132,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9571
